,ID,NL,MR,PRED,MONOTONIC
0,6,count state answer low_point_2 lower_2 low_point_1 stateid(alabama),answer count state low_point_2 lower_2 low_point_1 stateid(alabama),answer state loc_1 placeid(alabama),0
1,23,answer elevation_1 place highest loc_2 state(all),answer elevation_1 highest place loc_2 state(all),answer elevation_1 highest place(all),0
2,26,answer elevation_1 place highest loc_2 countryid(usa),answer elevation_1 highest place loc_2 countryid(usa),answer elevation_1 highest place(all),0
3,27,answer elevation_1 place highest loc_2 stateid(montana),answer elevation_1 highest place loc_2 stateid(montana),answer elevation_1 highest place(all),0
4,28,answer elevation_1 place highest loc_2 state(all) largest,answer elevation_1 highest place loc_2 largest state(all),answer elevation_1 highest place(all),0
5,29,answer elevation_1 place highest loc_2 stateid(alabama),answer elevation_1 highest place loc_2 stateid(alabama),answer elevation_1 stateid(alabama),0
6,30,answer elevation_1 place highest loc_2 stateid(delaware),answer elevation_1 highest place loc_2 stateid(delaware),answer elevation_1 stateid(delaware),0
7,31,answer elevation_1 place highest loc_2 stateid(florida),answer elevation_1 highest place loc_2 stateid(florida),answer elevation_1 stateid(florida),0
8,32,answer elevation_1 place highest loc_2 stateid(louisiana),answer elevation_1 highest place loc_2 stateid(louisiana),answer elevation_1 stateid(louisiana),0
9,35,answer size city largest loc_2 stateid(alaska),answer size largest city loc_2 stateid(alaska),answer size city city loc_2 stateid(alaska),0
10,39,answer len river longest loc_2 stateid(california),answer len longest river loc_2 stateid(california),answer len river(california),0
11,40,answer len river longest loc_2 countryid(usa),answer len longest river loc_2 countryid(usa),answer len river(all),0
12,48,answer len river shortest loc_2 countryid(usa),answer len shortest river loc_2 countryid(usa),answer len river(all),0
13,49,answer count major city loc_2 stateid(pennsylvania),answer count major city loc_2 stateid(pennsylvania),answer count major city loc_2 stateid(pennsylvania),1
14,59,"answer count intersection city cityid(austin, _) loc_2 countryid(usa)","answer count intersection city cityid(austin, _) loc_2 countryid(usa)","answer count city city loc_2 countryid(austin, _)",1
15,66,answer count major city loc_2 stateid(arizona),answer count major city loc_2 stateid(arizona),answer count major city loc_2 stateid(arizona),1
