,ID,NL,MR,PRED,MONOTONIC
0,3,"['nomina', 'tutti', 'i', 'fiumi', 'in', 'colorado']",answer river loc_2 stateid(colorado),answer river loc_2 stateid(colorado),1
1,6,"['conta', 'gli', 'stati', 'che', 'hanno', 'elevazione', 'inferiore', 'a', 'quella', 'dell', 'alabama']",count state answer low_point_2 lower_2 low_point_1 stateid(alabama),answer state loc_1 place(all) next_to_2 stateid(alabama),0
2,15,"['dammi', 'il', 'numero', 'di', 'fiumi', 'in', 'california']",answer count river loc_2 stateid(california),answer count river loc_2 stateid(california),1
3,16,"['dammi', 'gli', 'stati', 'che', 'confinano', 'con', 'lo', 'utah']",answer state next_to_2 stateid(utah),answer state next_to_2 stateid(utah),1
4,25,"['quanto', 'è', 'ε', 'alto', 'ε', 'il', 'mount', 'mckinley']",answer elevation_1 placeid(mount mckinley),answer elevation_1 placeid(mount mckinley),1
5,26,"['quanto', 'è', 'ε', 'alto', 'ε', 'il', 'picco', 'più', 'alto', 'ε', 'in', 'america']",answer elevation_1 place highest loc_2 countryid(usa),answer elevation_1 place highest loc_2 countryid(usa),0
6,29,"['quanto', 'è', 'ε', 'alto', 'ε', 'il', 'picco', 'più', 'alto', 'ε', 'dell', 'alabama']",answer elevation_1 place highest loc_2 stateid(alabama),answer elevation_1 place highest loc_2 stateid(alabama),0
7,33,"['quanto', 'è', 'ε', 'grande', 'l', 'alaska']",answer size stateid(alaska),answer size stateid(alaska),1
8,34,"['quanto', 'è', 'ε', 'grande', 'il', 'texas']",answer size stateid(texas),answer size stateid(texas),1
9,37,"['quanto', 'è', 'ε', 'lungo', 'il', 'fiume', 'colorado']",answer len riverid(colorado),answer len riverid(colorado),1
10,38,"['quanto', 'è', 'ε', 'lungo', 'il', 'fiume', 'delaware']",answer len riverid(delaware),answer len stateid(delaware),1
11,39,"['quanto', 'è', 'ε', 'lungo', 'il', 'fiume', 'più', 'lungo', 'in', 'california']",answer len river longest loc_2 stateid(california),answer len river longest loc_2 stateid(california),0
12,40,"['quanto', 'è', 'ε', 'lungo', 'il', 'fiume', 'più', 'lungo', 'in', 'usa']",answer len river longest loc_2 countryid(usa),answer len river longest loc_2 countryid(usa),0
13,45,"['quanto', 'è', 'ε', 'lungo', 'il', 'fiume', 'north', 'platte']",answer len riverid(north platte),answer len stateid(north dakota),1
14,46,"['quanto', 'è', 'ε', 'lungo', 'il', 'fiume', 'ohio']",answer len riverid(ohio),answer len riverid(ohio),1
15,50,"['quante', 'ε', 'capitali', 'ε', 'ha', 'rhode', 'island']",answer count capital loc_2 stateid(rhode island),answer count capital stateid(rhode island),1
