,ID,NL,MR,PRED,MONOTONIC
0,3,nomina tutti i fiumi in colorado,answer river loc_2 stateid(colorado),answer river loc_2 stateid(colorado),1
1,6,conta gli stati che hanno elevazione inferiore a quella dell alabama,count state answer low_point_2 lower_2 low_point_1 stateid(alabama),answer state loc_1 place higher_2 stateid(alabama),0
2,15,dammi il numero di fiumi in california,answer count river loc_2 stateid(california),answer count river loc_2 stateid(california),1
3,16,dammi gli stati che confinano con lo utah,answer state next_to_2 stateid(utah),answer state next_to_2 stateid(utah),1
4,25,quanto è alto il mount mckinley,answer elevation_1 placeid(mount mckinley),answer elevation_1 placeid(mount mckinley),1
5,26,quanto è alto il picco più alto in america,answer elevation_1 place highest loc_2 countryid(usa),answer elevation_1 place highest loc_2 countryid(usa),0
6,29,quanto è alto il picco più alto dell alabama,answer elevation_1 place highest loc_2 stateid(alabama),answer elevation_1 place highest loc_1 stateid(alabama),0
7,33,quanto è grande l alaska,answer size stateid(alaska),answer size stateid(alaska),1
8,34,quanto è grande il texas,answer size stateid(texas),answer size stateid(texas),1
9,37,quanto è lungo il fiume colorado,answer len riverid(colorado),answer len riverid(colorado),1
10,38,quanto è lungo il fiume delaware,answer len riverid(delaware),answer len riverid(delaware),1
11,39,quanto è lungo il fiume più lungo in california,answer len river longest loc_2 stateid(california),answer len river longest loc_2 stateid(california),0
12,40,quanto è lungo il fiume più lungo in usa,answer len river longest loc_2 countryid(usa),answer len river longest loc_2 countryid(usa),0
13,45,quanto è lungo il fiume north platte,answer len riverid(north platte),answer len riverid(north platte),1
14,46,quanto è lungo il fiume ohio,answer len riverid(ohio),answer len riverid(ohio),1
15,50,quante capitali ha rhode island,answer count capital loc_2 stateid(rhode island),answer count capital loc_2 stateid(rhode island),1
16,53,quante città ci sono in usa,answer count city loc_2 countryid(usa),answer count city loc_2 countryid(usa),1
17,60,quanti cittadini ha la città più grande in usa,answer population_1 city(all) largest,answer population_1 city largest loc_2 countryid(usa),0
18,64,quanti fiumi chiamati colorado ci sono,answer count river riverid(colorado),answer count riverid(colorado),1
19,82,quante persone vivono a detroit,"answer population_1 cityid(detroit, _)","answer population_1 cityid(detroit, _)",1
20,84,quante persone vivono a houston,"answer population_1 cityid(houston, _)","answer population_1 cityid(houston, _)",1
21,87,quante persone vivono a minneapolis minnesota,"answer population_1 cityid(minneapolis, mn)","answer population_1 cityid(minnesota, _)",1
22,88,quanti vivono in mississippi,answer population_1 stateid(mississippi),answer population_1 stateid(mississippi),1
23,93,quante persone vivono in rhode island,answer population_1 stateid(rhode island),answer population_1 stateid(rhode island),1
24,99,quante persone vivono nella città più grande nello stato di new york,answer population_1 city largest loc_2 stateid(new york),answer population_1 city largest loc_2 stateid(new york),0
25,101,quante persone vivono nella capitale del texas,answer population_1 capital loc_2 stateid(texas),answer population_1 capital loc_2 stateid(texas),1
26,104,quante persone vivono negli usa,answer population_1 countryid(usa),answer population_1 countryid(usa),1
27,107,quante persone vivono a austin,"answer population_1 cityid(austin, _)","answer population_1 cityid(austin, _)",1
28,108,quante persone risiedono in utah,answer population_1 stateid(utah),answer population_1 stateid(utah),1
29,110,quanti residenti vivono in texas,answer population_1 stateid(texas),answer population_1 stateid(texas),1
30,114,quanti fiumi sono in iowa,answer count river loc_2 stateid(iowa),answer count river loc_2 stateid(iowa),1
31,117,quanti fiumi sono nello stato che ha più fiumi,answer count river loc_2 state loc_1 most river(all),answer count river loc_2 state loc_1 most river(all),0
32,125,quanti fiumi ha il colorado,answer count river loc_2 stateid(colorado),answer count river loc_2 stateid(colorado),1
33,132,quanti stati ci sono in usa,answer count state loc_2 countryid(usa),answer count state loc_2 countryid(usa),1
34,134,quanti stati ci sono,answer count state(all),answer count state(all),1
35,135,quanti stati ci sono in usa,answer count state loc_2 countryid(usa),answer count state loc_2 countryid(usa),1
36,141,quanti stati confinano con l iowa,answer count state next_to_2 stateid(iowa),answer count state next_to_2 stateid(iowa),1
37,148,quanti stati confinano con lo stato con la popolazione più grande,answer count state next_to_2 state(all) population_1 largest_one,answer count state next_to_2 state(all) population_1 largest_one,0
38,149,quanti stati non hanno fiumi,answer count state(all) exclude loc_1 river(all),answer count state(all) exclude loc_1 river(all),0
39,152,con quanti stati confina il tennessee,answer count state next_to_1 stateid(tennessee),answer count state next_to_1 stateid(tennessee),1
40,158,quanti stati hanno gli usa,answer count state loc_2 countryid(usa),answer count state loc_2 countryid(usa),1
41,161,quanti stati hanno un picco più alto che il picco più alto dello stato con la capitale più grande in usa,answer count state loc_1 place higher_2 place highest loc_2 state loc_1 capital city largest loc_2 countryid(usa),answer count state loc_1 place higher_2 place highest loc_2 state loc_1 capital largest loc_2 countryid(usa),0
42,166,quanta popolazione ha il texas,answer population_1 stateid(texas),answer population_1 stateid(texas),1
43,167,quanto è alto il mount mckinley,answer elevation_1 placeid(mount mckinley),answer elevation_1 placeid(mount mckinley),1
44,168,quanto è alto il picco più alto in montana,answer elevation_1 place highest loc_2 stateid(montana),answer elevation_1 place highest loc_2 stateid(montana),0
45,172,l iowa confina con quanti stati,stateid(iowa) next_to_1 answer count state,answer stateid(iowa) next_to_2 count state(all),0
46,179,nomina i grandi fiumi in florida,answer major river loc_2 stateid(florida),answer major river loc_2 stateid(florida),1
47,183,numero di persone in boulder,"answer population_1 cityid(boulder, _)","answer population_1 cityid(boulder, _)",1
48,184,numero di stati che confinano con l iowa,answer count state next_to_2 stateid(iowa),answer state next_to_2 stateid(iowa),1
