,ID,NL,MR,PRED,MONOTONIC
0,4,"['can', 'you', 'tell', 'me', 'the', 'capital', 'of', 'texas']",answer capital loc_2 stateid(texas),answer capital loc_2 stateid(texas),1
1,6,"['count', 'the', 'states', 'which', 'have', 'elevations', 'lower', 'than', 'what', 'alabama', 'has']",count state answer low_point_2 lower_2 low_point_1 stateid(alabama),answer state place higher_2 stateid(alabama),0
2,12,"['give', 'me', 'the', 'lakes', 'in', 'california']",answer lake loc_2 stateid(california),answer lake loc_2 stateid(california),1
3,15,"['give', 'me', 'the', 'number', 'of', 'rivers', 'in', 'california']",answer count river loc_2 stateid(california),answer count river loc_2 stateid(california),1
4,59,"['how', 'many', 'cities', 'named', 'austin', 'are', 'there', 'in', 'the', 'usa']","answer count intersection city cityid(austin, _) loc_2 countryid(usa)","answer count city cityid(austin, _) loc_2 countryid(usa)",1
5,61,"['how', 'many', 'citizens', 'in', 'alabama']",answer population_1 stateid(alabama),answer population_1 stateid(alabama),1
6,63,"['how', 'many', 'citizens', 'live', 'in', 'california']",answer population_1 stateid(california),answer population_1 stateid(california),1
7,74,"['how', 'many', 'people', 'are', 'in', 'the', 'state', 'of', 'nevada']",answer population_1 stateid(nevada),answer population_1 loc_2 stateid(nevada),1
8,75,"['how', 'many', 'people', 'are', 'there', 'in', 'iowa']",answer population_1 stateid(iowa),answer population_1 loc_2 stateid(iowa),1
9,76,"['how', 'many', 'people', 'are', 'there', 'in', 'new', 'york']",answer population_1 stateid(new york),answer population_1 loc_2 stateid(new york),1
10,80,"['how', 'many', 'people', 'live', 'in', 'california']",answer population_1 stateid(california),answer population_1 stateid(california),1
11,83,"['how', 'many', 'people', 'live', 'in', 'hawaii']",answer population_1 stateid(hawaii),answer population_1 stateid(hawaii),1
12,86,"['how', 'many', 'people', 'live', 'in', 'kansas']",answer population_1 stateid(kansas),answer population_1 stateid(kansas),1
13,88,"['how', 'many', 'people', 'live', 'in', 'mississippi']",answer population_1 stateid(mississippi),answer population_1 stateid(mississippi),1
14,89,"['how', 'many', 'people', 'live', 'in', 'montana']",answer population_1 stateid(montana),answer population_1 stateid(montana),1
15,90,"['how', 'many', 'people', 'live', 'in', 'new', 'hampshire']",answer population_1 stateid(new hampshire),answer population_1 stateid(new hampshire),1
16,91,"['how', 'many', 'people', 'live', 'in', 'new', 'mexico']",answer population_1 stateid(new mexico),answer population_1 stateid(new mexico),1
17,92,"['how', 'many', 'people', 'live', 'in', 'new', 'york']",answer population_1 stateid(new york),answer population_1 stateid(new york),1
18,93,"['how', 'many', 'people', 'live', 'in', 'rhode', 'island']",answer population_1 stateid(rhode island),answer population_1 stateid(rhode island),1
19,96,"['how', 'many', 'people', 'live', 'in', 'south', 'dakota']",answer population_1 stateid(south dakota),answer population_1 stateid(south dakota),1
20,98,"['how', 'many', 'people', 'live', 'in', 'texas']",answer population_1 stateid(texas),answer population_1 stateid(texas),1
21,104,"['how', 'many', 'people', 'live', 'in', 'the', 'usa']",answer population_1 countryid(usa),answer population_1 countryid(usa),1
22,105,"['how', 'many', 'people', 'live', 'in', 'washington']",answer population_1 stateid(washington),"answer population_1 cityid(washington, dc",1
23,108,"['how', 'many', 'people', 'reside', 'in', 'utah']",answer population_1 stateid(utah),answer population_1 stateid(utah),1
24,109,"['how', 'many', 'people', 'stay', 'in', 'utah']",answer population_1 stateid(utah),answer population_1 stateid(utah),1
25,110,"['how', 'many', 'residents', 'live', 'in', 'texas']",answer population_1 stateid(texas),answer population_1 stateid(texas),1
26,112,"['how', 'many', 'rivers', 'are', 'found', 'in', 'colorado']",answer count river loc_2 stateid(colorado),answer count river loc_2 loc_2 stateid(colorado),1
