,ID,NL,MR,PRED,MONOTONIC
0,4,"['answer', 'capital', 'loc_2', 'stateid(texas)']",answer capital loc_2 stateid(texas),answer capital loc_2 stateid(texas),1
1,6,"['count', 'state', 'answer', 'low_point_2', 'lower_2', 'low_point_1', 'stateid(alabama)']",answer count state low_point_2 lower_2 low_point_1 stateid(alabama),answer state loc_1 place next_to_2 stateid(alabama),0
2,12,"['answer', 'lake', 'loc_2', 'stateid(california)']",answer lake loc_2 stateid(california),answer lake loc_2 stateid(california),1
3,15,"['answer', 'count', 'river', 'loc_2', 'stateid(california)']",answer count river loc_2 stateid(california),answer river loc_2 stateid(california),1
4,59,"['answer', 'count', 'intersection', 'city', 'cityid(austin, _)', 'loc_2', 'countryid(usa)']","answer count intersection city cityid(austin, _) loc_2 countryid(usa)","answer count city cityid(austin, _) loc_2 countryid(usa)",1
5,61,"['answer', 'population_1', 'stateid(alabama)']",answer population_1 stateid(alabama),answer population_1 stateid(alabama),1
6,63,"['answer', 'population_1', 'stateid(california)']",answer population_1 stateid(california),answer population_1 stateid(california),1
7,74,"['answer', 'population_1', 'stateid(nevada)']",answer population_1 stateid(nevada),answer population_1 loc_2 stateid(nevada),1
8,75,"['answer', 'population_1', 'stateid(iowa)']",answer population_1 stateid(iowa),answer population_1 loc_2 stateid(iowa),1
9,76,"['answer', 'population_1', 'stateid(new york)']",answer population_1 stateid(new york),answer population_1 loc_2 stateid(new york),1
10,80,"['answer', 'population_1', 'stateid(california)']",answer population_1 stateid(california),answer population_1 stateid(california),1
11,83,"['answer', 'population_1', 'stateid(hawaii)']",answer population_1 stateid(hawaii),answer population_1 stateid(hawaii),1
12,86,"['answer', 'population_1', 'stateid(kansas)']",answer population_1 stateid(kansas),answer population_1 stateid(kansas),1
13,88,"['answer', 'population_1', 'stateid(mississippi)']",answer population_1 stateid(mississippi),answer stateid(mississippi),1
14,89,"['answer', 'population_1', 'stateid(montana)']",answer population_1 stateid(montana),answer population_1 stateid(montana),1
15,90,"['answer', 'population_1', 'stateid(new hampshire)']",answer population_1 stateid(new hampshire),answer population_1 stateid(new hampshire),1
16,91,"['answer', 'population_1', 'stateid(new mexico)']",answer population_1 stateid(new mexico),answer population_1 stateid(new mexico),1
17,92,"['answer', 'population_1', 'stateid(new york)']",answer population_1 stateid(new york),answer population_1 stateid(new york),1
18,93,"['answer', 'population_1', 'stateid(rhode island)']",answer population_1 stateid(rhode island),answer population_1 stateid(rhode island),1
19,96,"['answer', 'population_1', 'stateid(south dakota)']",answer population_1 stateid(south dakota),answer population_1 stateid(south dakota),1
20,98,"['answer', 'population_1', 'stateid(texas)']",answer population_1 stateid(texas),answer population_1 stateid(texas),1
21,104,"['answer', 'population_1', 'countryid(usa)']",answer population_1 countryid(usa),answer population_1 countryid(usa),1
22,105,"['answer', 'population_1', 'stateid(washington)']",answer population_1 stateid(washington),answer population_1 stateid(washington),1
23,108,"['answer', 'population_1', 'stateid(utah)']",answer population_1 stateid(utah),answer population_1 stateid(utah),1
24,109,"['answer', 'population_1', 'stateid(utah)']",answer population_1 stateid(utah),answer population_1 stateid(utah),1
25,110,"['answer', 'population_1', 'stateid(texas)']",answer population_1 stateid(texas),answer population_1 stateid(texas),1
26,112,"['answer', 'count', 'river', 'loc_2', 'stateid(colorado)']",answer count river loc_2 stateid(colorado),answer count river loc_2 stateid(colorado),1
27,113,"['answer', 'count', 'river', 'loc_2', 'stateid(colorado)']",answer count river loc_2 stateid(colorado),answer count river loc_2 stateid(colorado),1
28,114,"['answer', 'count', 'river', 'loc_2', 'stateid(iowa)']",answer count river loc_2 stateid(iowa),answer count river loc_2 stateid(iowa),1
29,115,"['answer', 'count', 'river', 'loc_2', 'stateid(missouri)']",answer count river loc_2 stateid(missouri),answer count river loc_2 stateid(missouri),1
30,116,"['answer', 'count', 'river', 'loc_2', 'stateid(new york)']",answer count river loc_2 stateid(new york),answer count river loc_2 stateid(new york),1
31,120,"['answer', 'count', 'river', 'loc_2', 'stateid(idaho)']",answer count river loc_2 stateid(idaho),answer count river loc_2 stateid(idaho),1
