,ID,NL,MR,PRED,MONOTONIC
0,6,count state answer low_point_2 lower_2 low_point_1 stateid(alabama),answer count state low_point_2 lower_2 low_point_1 stateid(alabama),answer loc_1 state(alabama),0
1,23,answer elevation_1 highest place loc_2 state(all),answer elevation_1 highest place loc_2 state(all),answer highest place loc_2 state(all),1
2,26,answer elevation_1 highest place loc_2 countryid(usa),answer elevation_1 highest place loc_2 countryid(usa),answer highest place loc_2 countryid(usa),1
3,27,answer elevation_1 highest place loc_2 stateid(montana),answer elevation_1 highest place loc_2 stateid(montana),answer elevation_1 highest place loc_2 stateid(montana),1
4,28,answer elevation_1 highest place loc_2 largest state(all),answer elevation_1 highest place loc_2 largest state(all),answer highest place loc_2 largest state(all),1
5,29,answer elevation_1 highest place loc_2 stateid(alabama),answer elevation_1 highest place loc_2 stateid(alabama),answer elevation_1 stateid(alabama),1
6,30,answer elevation_1 highest place loc_2 stateid(delaware),answer elevation_1 highest place loc_2 stateid(delaware),answer elevation_1 stateid(delaware),1
7,31,answer elevation_1 highest place loc_2 stateid(florida),answer elevation_1 highest place loc_2 stateid(florida),answer elevation_1 highest place loc_2 stateid(florida),1
8,32,answer elevation_1 highest place loc_2 stateid(louisiana),answer elevation_1 highest place loc_2 stateid(louisiana),answer elevation_1 highest place loc_2 stateid(louisiana),1
9,35,answer size largest city loc_2 stateid(alaska),answer size largest city loc_2 stateid(alaska),answer size city loc_2 stateid(alaska),1
10,39,answer len longest river loc_2 stateid(california),answer len longest river loc_2 stateid(california),answer len river loc_2 stateid(california),1
11,40,answer len longest river loc_2 countryid(usa),answer len longest river loc_2 countryid(usa),answer len river loc_2 countryid(usa),1
12,48,answer len shortest river loc_2 countryid(usa),answer len shortest river loc_2 countryid(usa),answer len river loc_2 countryid(usa),1
13,49,answer count major city loc_2 stateid(pennsylvania),answer count major city loc_2 stateid(pennsylvania),answer count city loc_2 stateid(pennsylvania),1
14,59,"answer count intersection city cityid(austin, _) loc_2 countryid(usa)","answer count intersection city cityid(austin, _) loc_2 countryid(usa)",answer count city loc_2 countryid(usa),1
15,66,answer count major city loc_2 stateid(arizona),answer count major city loc_2 stateid(arizona),answer count major city loc_2 stateid(arizona),1
16,67,answer count major city loc_2 stateid(florida),answer count major city loc_2 stateid(florida),answer count major city loc_2 stateid(florida),1
17,68,answer count major city loc_2 state next_to_2 stateid(nebraska),answer count major city loc_2 state next_to_2 stateid(nebraska),answer count major city next_to_2 stateid(nebraska),1
18,69,answer count major city loc_2 state next_to_2 stateid(utah),answer count major city loc_2 state next_to_2 stateid(utah),answer count major city next_to_2 stateid(utah),1
19,70,answer count major city loc_2 stateid(texas),answer count major city loc_2 stateid(texas),answer count major city loc_2 stateid(texas),1
20,72,answer count major city loc_2 stateid(oregon),answer count major city loc_2 stateid(oregon),answer count major city loc_2 stateid(oregon),1
21,73,answer count major river traverse_2 stateid(ohio),answer count major river traverse_2 stateid(ohio),answer count major river traverse_2 stateid(ohio),1
22,99,answer population_1 largest city loc_2 stateid(new york),answer population_1 largest city loc_2 stateid(new york),answer population_1 largest city loc_2 stateid(new york),1
23,102,answer population_1 smallest state next_to_2 stateid(wyoming),answer population_1 smallest state next_to_2 stateid(wyoming),answer smallest population_1 state next_to_2 stateid(wyoming),1
24,117,answer count river loc_2 state loc_1 most river(all),answer count river loc_2 most state loc_1 river(all),answer count river loc_2 state(all),0
25,118,answer count river loc_2 state loc_1 highest place(all),answer count river loc_2 state loc_1 highest place(all),answer count river loc_2 highest place state(all),1
26,119,answer count river loc_2 state(all) largest_one population_1,answer count river loc_2 largest_one population_1 state(all),answer count river loc_2 largest_one population_1 state(all),0
27,123,"answer count river(all) exclude traverse_2 state loc_1 capital cityid(albany, _)","answer count exclude river(all) traverse_2 state loc_1 capital cityid(albany, _)",answer count river traverse_2 stateid(albany),0
28,126,answer count intersection river loc_2 stateid(texas) longer riverid(red),answer count intersection river loc_2 stateid(texas) longer riverid(red),answer count river loc_2 stateid(texas),1
29,129,answer count river traverse_2 state next_to_2 stateid(colorado),answer count river traverse_2 state next_to_2 stateid(colorado),answer count river traverse_2 stateid(colorado),1
30,133,answer count state next_to_2 major river(all),answer count state next_to_2 major river(all),answer count state next_to_2 major river(all),1
31,139,answer count state next_to_2 stateid(colorado) intersection next_to_2 stateid(new mexico),answer count state intersection next_to_2 stateid(colorado) next_to_2 stateid(new mexico),answer count state next_to_2 stateid(colorado),0
32,142,"answer count state next_to_2 state loc_1 capital cityid(boston, _)","answer count state next_to_2 state loc_1 capital cityid(boston, _)",answer count state next_to_2 stateid(boston),1
33,145,answer count state next_to_2 largest state(all),answer count state next_to_2 largest state(all),answer count state next_to_2 largest state(all),1
34,147,answer count state next_to_2 state next_to_2 most state(all),answer count state next_to_2 most state next_to_2 state(all),answer most count state next_to_2 state(all),0
35,148,answer count state next_to_2 state(all) largest_one population_1,answer count state next_to_2 largest_one population_1 state(all),answer count largest_one population_1 state next_to_2,0
36,149,answer count state(all) exclude loc_1 river(all),answer count exclude state(all) loc_1 river(all),answer count river state(all),0
37,159,"answer count state loc_1 city cityid(rochester, _)","answer count state loc_1 city cityid(rochester, _)","answer count state cityid(rochester, _)",1
