,ID,NL,MR,PRED,MONOTONIC
0,4,"['koennenst', 'du', 'mir', 'die', 'ε', 'hauptstadt', 'ε', 'von', 'texas', 'nennen']",capital loc_2 stateid(texas) answer,capital loc_2 stateid(texas),0
1,6,"['zahle', 'die', 'ε', 'staaten', 'ε', 'welche', 'ε', 'erhebungen', 'haben', 'die', 'ε', 'niedriger', 'liegen', 'als', 'jene', 'in', 'alabama']",count state answer low_point_2 lower_2 low_point_1 stateid(alabama),answer state place lowest loc_2 stateid(alabama),0
2,12,"['nenne', 'mir', 'die', 'ε', 'seen', 'in', 'california']",answer lake loc_2 stateid(california),answer lake loc_2 stateid(california),1
3,15,"['nenne', 'mir', 'die', 'ε', 'anzahl', 'der', 'fluesse', 'ε', 'in', 'california']",answer count river loc_2 stateid(california),answer answer river loc_2 stateid(california),1
4,59,"['wie', 'viele', 'ε', 'staedte', 'ε', 'mit', 'dem', 'namen', 'austin', 'gibt', 'es', 'in', 'den', 'usa']","answer count intersection city cityid(austin, _)loc_2 countryid(usa)","answer count city cityid(austin, _) loc_2 countryid(usa)",1
5,61,"['wie', 'viele', 'ε', 'bewohner', 'hat', 'alabama']",answer population_1 stateid(alabama),answer population_1 stateid(alabama),1
6,63,"['wie', 'viele', 'ε', 'staatsbuerger', 'wohnen', 'in', 'california']",answer population_1 stateid(california),answer population_1 stateid(california),1
7,74,"['wie', 'viele', 'ε', 'einwohner', 'hat', 'nevada']",answer population_1 stateid(nevada),answer population_1 stateid(nevada),1
8,75,"['wie', 'viele', 'ε', 'leute', 'gibt', 'es', 'in', 'iowa']",answer population_1 stateid(iowa),answer population_1 stateid(iowa),1
9,76,"['wie', 'viele', 'ε', 'leute', 'gibt', 'es', 'in', 'new', 'york']",answer population_1 stateid(new york),answer population_1 stateid(new york),1
10,80,"['wie', 'viele', 'ε', 'einwohner', 'hat', 'california']",answer population_1 stateid(california),answer population_1 stateid(california),1
11,83,"['wie', 'hoch', 'ist', 'die', 'ε', 'bevoelkerung', 'ε', 'von', 'hawaii']",answer population_1 stateid(hawaii),answer population_1 stateid(hawaii),1
12,86,"['wie', 'viele', 'ε', 'leute', 'wohnen', 'in', 'kansas']",answer population_1 stateid(kansas),answer population_1 stateid(kansas),1
13,88,"['wie', 'viele', 'ε', 'leute', 'leben', 'in', 'mississippi']",answer population_1 stateid(mississippi),answer population_1 stateid(mississippi),1
14,89,"['wie', 'viele', 'ε', 'leute', 'wohnen', 'in', 'montana']",answer population_1 stateid(montana),answer population_1 stateid(montana),1
15,90,"['wie', 'viele', 'ε', 'leute', 'wohnen', 'in', 'new', 'hampshire']",answer population_1 stateid(new hampshire),answer population_1 stateid(new hampshire),1
16,91,"['welches', 'ist', 'die', 'ε', 'einwohnerzahl', 'von', 'new', 'mexico']",answer population_1 stateid(new mexico),answer population_1 stateid(new mexico),1
17,92,"['wie', 'viele', 'ε', 'einwohner', 'hat', 'new', 'york']",answer population_1 stateid(new york),answer population_1 stateid(new york),1
18,93,"['wie', 'viele', 'ε', 'leute', 'leben', 'in', 'rhode', 'island']",answer population_1 stateid(rhode island),answer population_1 stateid(rhode island),1
19,96,"['wie', 'viele', 'ε', 'leute', 'wohnen', 'in', 'sud', 'dakota']",answer population_1 stateid(south dakota),answer population_1 stateid(south dakota),1
20,98,"['wie', 'gross', 'ε', 'ist', 'die', 'ε', 'bevoelkerung', 'ε', 'von', 'texas']",answer population_1 stateid(texas),answer population_1 stateid(texas),1
21,104,"['wie', 'viele', 'ε', 'menschen', 'leben', 'in', 'den', 'usa']",answer population_1 countryid(usa),answer population_1 countryid(usa),1
22,105,"['welches', 'ist', 'die', 'ε', 'einwohnerzahl', 'von', 'washington']",answer population_1 stateid(washington),answer population_1 stateid(washington),1
23,108,"['wie', 'viele', 'ε', 'menschen', 'leben', 'in', 'utah']",answer population_1 stateid(utah),answer population_1 stateid(utah),1
24,109,"['welches', 'ist', 'die', 'ε', 'bevoelkerungszahl', 'von', 'utah']",answer population_1 stateid(utah),answer population_1 stateid(utah),1
25,110,"['wie', 'viele', 'ε', 'einwohner', 'leben', 'in', 'texas']",answer population_1 stateid(texas),answer population_1 stateid(texas),1
26,112,"['wie', 'viele', 'ε', 'fluesse', 'ε', 'gibt', 'es', 'in', 'colorado', 'ε']",answer count river loc_2 stateid(colorado),answer count river traverse_2 stateid(colorado),1
27,113,"['wie', 'viele', 'ε', 'fluesse', 'ε', 'sind', 'in', 'colorado', 'ε']",answer count river loc_2 stateid(colorado),answer count river loc_2 stateid(colorado),1
