,ID,NL,MR,PRED,MONOTONIC
0,6,"['count', 'state', 'answer', 'low_point_2', 'lower_2', 'low_point_1', 'stateid(alabama)']",answer count state low_point_2 lower_2 low_point_1 stateid(alabama),answer state state lowest next_to_2 stateid(alabama),0
1,23,"['answer', 'elevation_1', 'highest', 'place', 'loc_2', 'state(all)']",answer elevation_1 highest place loc_2 state(all),answer highest place loc_2 state(all),1
2,26,"['answer', 'elevation_1', 'highest', 'place', 'loc_2', 'countryid(usa)']",answer elevation_1 highest place loc_2 countryid(usa),answer elevation_1 highest place loc_2 countryid(usa),1
3,27,"['answer', 'elevation_1', 'highest', 'place', 'loc_2', 'stateid(montana)']",answer elevation_1 highest place loc_2 stateid(montana),answer highest place loc_2 stateid(montana),1
4,28,"['answer', 'elevation_1', 'highest', 'place', 'loc_2', 'largest', 'state(all)']",answer elevation_1 highest place loc_2 largest state(all),answer elevation_1 highest place loc_2 largest state(all),1
5,29,"['answer', 'elevation_1', 'highest', 'place', 'loc_2', 'stateid(alabama)']",answer elevation_1 highest place loc_2 stateid(alabama),answer elevation_1 highest place loc_2 stateid(alabama),1
6,30,"['answer', 'elevation_1', 'highest', 'place', 'loc_2', 'stateid(delaware)']",answer elevation_1 highest place loc_2 stateid(delaware),answer elevation_1 highest place loc_2 stateid(delaware),1
7,31,"['answer', 'elevation_1', 'highest', 'place', 'loc_2', 'stateid(florida)']",answer elevation_1 highest place loc_2 stateid(florida),answer elevation_1 highest place loc_2,1
8,32,"['answer', 'elevation_1', 'highest', 'place', 'loc_2', 'stateid(louisiana)']",answer elevation_1 highest place loc_2 stateid(louisiana),answer elevation_1 highest place loc_2 stateid(louisiana),1
9,35,"['answer', 'size', 'largest', 'city', 'loc_2', 'stateid(alaska)']",answer size largest city loc_2 stateid(alaska),answer largest city loc_2 stateid(alaska),1
10,39,"['answer', 'len', 'longest', 'river', 'loc_2', 'stateid(california)']",answer len longest river loc_2 stateid(california),answer len longest river loc_2 stateid(california),1
11,40,"['answer', 'len', 'longest', 'river', 'loc_2', 'countryid(usa)']",answer len longest river loc_2 countryid(usa),answer len longest river loc_2 countryid(usa),1
12,48,"['answer', 'len', 'shortest', 'river', 'loc_2', 'countryid(usa)']",answer len shortest river loc_2 countryid(usa),answer len shortest river loc_2 countryid(usa),1
