,ID,NL,MR,PRED,MONOTONIC
0,6,"['count', 'the', 'states', 'which', 'have', 'elevations', 'lower', 'than', 'what', 'alabama', 'has']",count state answer low_point_2 lower_2 low_point_1 stateid(alabama),answer state riverid(colorado) stateid(alabama),0
1,23,"['how', 'high', 'are', 'the', 'highest', 'points', 'of', 'all', 'the', 'states']",answer elevation_1 highest place loc_2 state(all),answer elevation_1 highest place loc_2 state(all),1
2,26,"['how', 'high', 'is', 'the', 'highest', 'point', 'in', 'america']",answer elevation_1 highest place loc_2 countryid(usa),answer elevation_1 highest place loc_2 countryid(usa),1
3,27,"['how', 'high', 'is', 'the', 'highest', 'point', 'in', 'montana']",answer elevation_1 highest place loc_2 stateid(montana),answer elevation_1 highest place loc_2 stateid(montana),1
4,28,"['how', 'high', 'is', 'the', 'highest', 'point', 'in', 'the', 'largest', 'state']",answer elevation_1 highest place loc_2 largest state(all),answer elevation_1 highest place loc_2 largest state(all),1
5,29,"['how', 'high', 'is', 'the', 'highest', 'point', 'of', 'alabama']",answer elevation_1 highest place loc_2 stateid(alabama),answer elevation_1 highest place loc_2 stateid(alabama),1
6,30,"['how', 'high', 'is', 'the', 'highest', 'point', 'of', 'delaware']",answer elevation_1 highest place loc_2 stateid(delaware),answer elevation_1 highest place loc_2 stateid(delaware),1
7,31,"['how', 'high', 'is', 'the', 'highest', 'point', 'of', 'florida']",answer elevation_1 highest place loc_2 stateid(florida),answer elevation_1 highest place loc_2 stateid(florida),1
8,32,"['how', 'high', 'is', 'the', 'highest', 'point', 'of', 'louisiana']",answer elevation_1 highest place loc_2 stateid(louisiana),answer elevation_1 highest place loc_2 stateid(louisiana),1
9,35,"['how', 'large', 'is', 'the', 'largest', 'city', 'in', 'alaska']",answer size largest city loc_2 stateid(alaska),answer size largest city loc_2 stateid(alaska),1
10,39,"['how', 'long', 'is', 'the', 'longest', 'river', 'in', 'california']",answer len longest river loc_2 stateid(california),answer len longest river loc_2 stateid(california),1
11,40,"['how', 'long', 'is', 'the', 'longest', 'river', 'in', 'the', 'usa']",answer len longest river loc_2 countryid(usa),answer len longest river loc_2 countryid(usa),1
12,48,"['how', 'long', 'is', 'the', 'shortest', 'river', 'in', 'the', 'usa']",answer len shortest river loc_2 countryid(usa),answer len shortest river loc_2 countryid(usa),1
13,49,"['how', 'many', 'big', 'cities', 'are', 'in', 'pennsylvania']",answer count major city loc_2 stateid(pennsylvania),answer count major city loc_2 stateid(pennsylvania),1
14,59,"['how', 'many', 'cities', 'named', 'austin', 'are', 'there', 'in', 'the', 'usa']","answer count intersection city cityid(austin, _) loc_2 countryid(usa)","answer count city cityid(austin, _) loc_2 countryid(usa)",1
15,66,"['how', 'many', 'major', 'cities', 'are', 'in', 'arizona']",answer count major city loc_2 stateid(arizona),answer count major city loc_2 stateid(arizona),1
16,67,"['how', 'many', 'major', 'cities', 'are', 'in', 'florida']",answer count major city loc_2 stateid(florida),answer count major city loc_2 stateid(florida),1
17,68,"['how', 'many', 'major', 'cities', 'are', 'in', 'states', 'bordering', 'nebraska']",answer count major city loc_2 state next_to_2 stateid(nebraska),answer count major city loc_2 state next_to_2 stateid(nebraska),1
18,69,"['how', 'many', 'major', 'cities', 'are', 'in', 'states', 'bordering', 'utah']",answer count major city loc_2 state next_to_2 stateid(utah),answer count major city loc_2 state next_to_2 stateid(utah),1
19,70,"['how', 'many', 'major', 'cities', 'in', 'texas']",answer count major city loc_2 stateid(texas),answer count major city loc_2 stateid(texas),1
20,72,"['how', 'many', 'major', 'cities', 'are', 'there', 'in', 'oregon']",answer count major city loc_2 stateid(oregon),answer count major city loc_2 stateid(oregon),1
21,73,"['how', 'many', 'major', 'rivers', 'cross', 'ohio']",answer count major river traverse_2 stateid(ohio),answer count river river loc_2 stateid(ohio),1
22,99,"['how', 'many', 'people', 'live', 'in', 'the', 'biggest', 'city', 'in', 'new', 'york', 'state']",answer population_1 largest city loc_2 stateid(new york),answer population_1 largest city loc_2 stateid(new york),1
23,102,"['how', 'many', 'people', 'live', 'in', 'the', 'smallest', 'state', 'bordering', 'wyoming']",answer population_1 smallest state next_to_2 stateid(wyoming),answer population_1 smallest state next_to_2 stateid(wyoming),1
24,117,"['how', 'many', 'rivers', 'are', 'in', 'the', 'state', 'that', 'has', 'most', 'rivers']",answer count river loc_2 state loc_1 most river(all),answer count river loc_2 state next_to_2 river(all),0
25,118,"['how', 'many', 'rivers', 'are', 'in', 'the', 'state', 'with', 'the', 'highest', 'point']",answer count river loc_2 state loc_1 highest place(all),answer count river loc_2 state loc_1 highest place(all),1
26,119,"['how', 'many', 'rivers', 'are', 'in', 'the', 'state', 'with', 'the', 'largest', 'population']",answer count river loc_2 state(all) largest_one population_1,answer count river loc_2 state(all) largest_one population_1,0
27,123,"['how', 'many', 'rivers', 'do', 'not', 'traverse', 'the', 'state', 'with', 'the', 'capital', 'albany']","answer count river(all) exclude traverse_2 state loc_1 capital cityid(albany, _)",answer count river traverse_2 state(all) capital stateid(alabama),0
28,126,"['how', 'many', 'rivers', 'in', 'texas', 'are', 'longer', 'than', 'the', 'red']",answer count intersection river loc_2 stateid(texas) longer riverid(red),answer count river loc_2 stateid(texas) loc_2 riverid(red),1
29,129,"['how', 'many', 'rivers', 'run', 'through', 'the', 'states', 'bordering', 'colorado']",answer count river traverse_2 state next_to_2 stateid(colorado),answer count river traverse_2 state next_to_2 stateid(colorado),1
30,133,"['how', 'many', 'states', 'are', 'next', 'to', 'major', 'rivers']",answer count state next_to_2 major river(all),answer count state next_to_2 major river,1
31,139,"['how', 'many', 'states', 'border', 'colorado', 'and', 'border', 'new', 'mexico']",answer count state next_to_2 stateid(colorado) intersection next_to_2 stateid(new mexico),answer count state next_to_2 stateid(colorado) stateid(new mexico),0
32,142,"['how', 'many', 'states', 'border', 'on', 'the', 'state', 'whose', 'capital', 'is', 'boston']","answer count state next_to_2 state loc_1 capital cityid(boston, _)","answer count state next_to_2 loc_2 state capital cityid(boston, _)",1
33,145,"['how', 'many', 'states', 'border', 'the', 'largest', 'state']",answer count state next_to_2 largest state(all),answer count state next_to_2 largest state(all),1
34,147,"['how', 'many', 'states', 'border', 'the', 'state', 'that', 'borders', 'the', 'most', 'states']",answer count state next_to_2 state next_to_2 most state(all),answer count state next_to_2 state next_to_2 most state(all),0
35,148,"['how', 'many', 'states', 'border', 'the', 'state', 'with', 'the', 'largest', 'population']",answer count state next_to_2 state(all) largest_one population_1,answer count state next_to_2 state(all) largest_one population_1,0
36,149,"['how', 'many', 'states', 'do', 'not', 'have', 'rivers']",answer count state(all) exclude loc_1 river(all),answer count state river(all),0
37,159,"['how', 'many', 'states', 'have', 'a', 'city', 'called', 'rochester']","answer count state loc_1 city cityid(rochester, _)","answer count state loc_1 city cityid(rochester, _)",1
38,160,"['how', 'many', 'states', 'have', 'a', 'city', 'named', 'springfield']","answer count state loc_1 city cityid(springfield, _)",answer count state loc_1 city loc_2,1
39,161,"['how', 'many', 'states', 'have', 'a', 'higher', 'point', 'than', 'the', 'highest', 'point', 'of', 'the', 'state', 'with', 'the', 'largest', 'capital', 'city', 'in', 'the', 'us']",answer count state loc_1 higher_2 place highest loc_1 place loc_2 state largest capital city loc_2 countryid(usa),answer count state loc_1 highest place highest place loc_2 state(all) loc_1 highest city city loc_2 countryid(usa),0
40,162,"['how', 'many', 'states', 'have', 'cities', 'named', 'austin']","answer count state loc_1 city cityid(austin, _)",answer count state city loc_2 loc_2,1
41,163,"['how', 'many', 'states', 'have', 'cities', 'or', 'towns', 'named', 'springfield']","answer count state loc_1 city cityid(springfield, _)",answer count state city city loc_2,1
42,164,"['how', 'many', 'states', 'have', 'major', 'rivers']",answer count state loc_1 major river(all),answer count state loc_1 major river(all),1
43,165,"['how', 'many', 'states', 'in', 'the', 'us', 'does', 'the', 'shortest', 'river', 'run', 'through']",answer count intersection state loc_2 countryid(usa) shortest river(all) traverse_1,answer count state loc_2 countryid(usa) shortest river traverse_1,0
44,168,"['how', 'tall', 'is', 'the', 'highest', 'point', 'in', 'montana']",answer elevation_1 highest place loc_2 stateid(montana),answer elevation_1 highest place loc_2 stateid(montana),1
45,170,"['in', 'which', 'state', 'does', 'the', 'highest', 'point', 'in', 'usa', 'exist']",loc_1 answer state highest place loc_2 countryid(usa),loc_1 answer state highest place loc_2 countryid(usa),0
46,181,"['name', 'the', 'states', 'which', 'have', 'no', 'surrounding', 'states']",answer state(all) exclude next_to_2 state(all),answer state next_to_2 state(all),0
47,185,"['of', 'the', 'states', 'washed', 'by', 'the', 'mississippi', 'river', 'which', 'has', 'the', 'lowest', 'point']",state traverse_1 loc_2 riverid(mississippi) answer state loc_1 lowest place,answer state traverse_1 riverid(mississippi) lowest place(all),0
48,189,"['sacramento', 'is', 'the', 'capital', 'of', 'which', 'state']","cityid(sacramento, _) capital loc_1 answer state",answer capital loc_2 state,0
