,ID,NL,MR,PRED,MONOTONIC
0,4,"['can', 'you', 'tell', 'me', 'the', 'capital', 'of', 'texas']",answer capital loc_2 stateid(texas),capital loc_2 stateid(texas),1
1,6,"['count', 'the', 'states', 'which', 'ε', 'have', 'elevations', 'lower', 'than', 'what', 'ε', 'alabama', 'has']",count state answer low_point_2 lower_2 low_point_1 stateid(alabama),answer state loc_1 place higher_2 answer stateid(alabama) loc_1,0
2,12,"['give', 'me', 'the', 'lakes', 'in', 'ε', 'california']",answer lake loc_2 stateid(california),answer lake loc_2 stateid(california),1
3,15,"['give', 'me', 'the', 'number', 'of', 'rivers', 'in', 'ε', 'california']",answer count river loc_2 stateid(california),answer count river loc_2 stateid(california),1
4,59,"['how', 'many', 'ε', 'cities', 'named', 'austin', 'are', 'there', 'in', 'ε', 'the', 'usa']","answer count intersection city cityid(austin, _) loc_2 countryid(usa)","answer count city cityid(austin, _) loc_2 countryid(usa)",1
5,61,"['how', 'many', 'ε', 'citizens', 'in', 'ε', 'alabama']",answer population_1 stateid(alabama),answer population_1 stateid(alabama),1
6,63,"['how', 'many', 'ε', 'citizens', 'live', 'in', 'ε', 'california']",answer population_1 stateid(california),answer population_1 stateid(california),1
7,74,"['how', 'many', 'ε', 'people', 'are', 'in', 'ε', 'the', 'state', 'of', 'nevada']",answer population_1 stateid(nevada),answer population_1 stateid(nevada),1
8,75,"['how', 'many', 'ε', 'people', 'are', 'there', 'in', 'ε', 'iowa']",answer population_1 stateid(iowa),answer population_1 loc_2 stateid(iowa),1
9,76,"['how', 'many', 'ε', 'people', 'are', 'there', 'in', 'ε', 'new', 'york']",answer population_1 stateid(new york),answer population_1 loc_2 stateid(new york),1
10,80,"['how', 'many', 'ε', 'people', 'live', 'in', 'ε', 'california']",answer population_1 stateid(california),answer population_1 stateid(california),1
11,83,"['how', 'many', 'ε', 'people', 'live', 'in', 'ε', 'hawaii']",answer population_1 stateid(hawaii),answer population_1 stateid(hawaii),1
12,86,"['how', 'many', 'ε', 'people', 'live', 'in', 'ε', 'kansas']",answer population_1 stateid(kansas),answer population_1 stateid(kansas),1
13,88,"['how', 'many', 'ε', 'people', 'live', 'in', 'ε', 'mississippi']",answer population_1 stateid(mississippi),answer population_1 stateid(mississippi),1
14,89,"['how', 'many', 'ε', 'people', 'live', 'in', 'ε', 'montana']",answer population_1 stateid(montana),answer population_1 stateid(montana),1
15,90,"['how', 'many', 'ε', 'people', 'live', 'in', 'ε', 'new', 'hampshire']",answer population_1 stateid(new hampshire),answer population_1 stateid(new hampshire),1
16,91,"['how', 'many', 'ε', 'people', 'live', 'in', 'ε', 'new', 'mexico']",answer population_1 stateid(new mexico),answer population_1 stateid(new mexico),1
17,92,"['how', 'many', 'ε', 'people', 'live', 'in', 'ε', 'new', 'york']",answer population_1 stateid(new york),answer population_1 stateid(new york),1
18,93,"['how', 'many', 'ε', 'people', 'live', 'in', 'ε', 'rhode', 'island']",answer population_1 stateid(rhode island),answer population_1 stateid(rhode island),1
19,96,"['how', 'many', 'ε', 'people', 'live', 'in', 'ε', 'south', 'dakota']",answer population_1 stateid(south dakota),answer population_1 stateid(south dakota),1
20,98,"['how', 'many', 'ε', 'people', 'live', 'in', 'ε', 'texas']",answer population_1 stateid(texas),answer population_1 stateid(texas),1
21,104,"['how', 'many', 'ε', 'people', 'live', 'in', 'ε', 'the', 'usa']",answer population_1 countryid(usa),answer population_1 countryid(usa),1
