,ID,NL,MR,PRED,MONOTONIC
0,6,"['conta', 'gli', 'stati', 'che', 'hanno', 'elevazione', 'inferiore', 'a', 'quella', 'dell', 'alabama']",count state answer low_point_2 lower_2 low_point_1 stateid(alabama),answer state place(all) stateid(alabama),0
1,23,"['quanto', 'sono', 'alti', 'i', 'picchi', 'più', 'alti', 'di', 'tutti', 'gli', 'stati']",answer elevation_1 place highest loc_2 state(all),answer elevation_1 place highest loc_2 state(all),0
2,26,"['quanto', 'è', 'alto', 'il', 'picco', 'più', 'alto', 'in', 'america']",answer elevation_1 place highest loc_2 countryid(usa),answer elevation_1 place highest loc_2 countryid(usa),0
3,27,"['quanto', 'è', 'alto', 'il', 'picco', 'più', 'alto', 'in', 'montana']",answer elevation_1 place highest loc_2 stateid(montana),answer elevation_1 place highest loc_2 stateid(montana),0
4,28,"['quanto', 'è', 'alto', 'il', 'picco', 'più', 'alto', 'nello', 'stato', 'più', 'grande']",answer elevation_1 place highest loc_2 state(all) largest,answer elevation_1 place highest loc_2 state(all) largest,0
5,29,"['quanto', 'è', 'alto', 'il', 'picco', 'più', 'alto', 'dell', 'alabama']",answer elevation_1 place highest loc_2 stateid(alabama),answer elevation_1 high_point_1 stateid(alabama),0
6,30,"['quanto', 'è', 'alto', 'il', 'picco', 'più', 'alto', 'del', 'delaware']",answer elevation_1 place highest loc_2 stateid(delaware),answer elevation_1 high_point_1 stateid(delaware),0
7,31,"['quanto', 'è', 'alto', 'il', 'picco', 'più', 'alto', 'della', 'florida']",answer elevation_1 place highest loc_2 stateid(florida),answer elevation_1 place highest stateid(florida),0
8,32,"['quanto', 'è', 'alto', 'il', 'picco', 'più', 'alto', 'della', 'louisiana']",answer elevation_1 place highest loc_2 stateid(louisiana),answer elevation_1 highest stateid(louisiana),0
9,35,"['quanto', 'è', 'grande', 'la', 'città', 'più', 'grande', 'in', 'alaska']",answer size city largest loc_2 stateid(alaska),answer size city largest loc_2 stateid(alaska),0
10,39,"['quanto', 'è', 'lungo', 'il', 'fiume', 'più', 'lungo', 'in', 'california']",answer len river longest loc_2 stateid(california),answer len river longest loc_2 stateid(california),0
11,40,"['quanto', 'è', 'lungo', 'il', 'fiume', 'più', 'lungo', 'in', 'usa']",answer len river longest loc_2 countryid(usa),answer len river longest loc_2 countryid(usa),0
12,48,"['quanto', 'è', 'lungo', 'il', 'fiume', 'più', 'corto', 'in', 'usa']",answer len river shortest loc_2 countryid(usa),answer len river shortest loc_2 countryid(usa),0
13,49,"['quante', 'ε', 'grandi', 'città', 'ci', 'sono', 'in', 'pennsylvania']",answer count major city loc_2 stateid(pennsylvania),answer count major city loc_2 stateid(pennsylvania),1
14,59,"['quante', 'ε', 'città', 'chiamate', 'austin', 'ci', 'sono', 'negli', 'usa']","answer count intersection city cityid(austin, _) loc_2 countryid(usa)","answer count city cityid(austin, _) loc_2 countryid(usa)",1
15,66,"['quante', 'ε', 'grandi', 'città', 'ci', 'sono', 'in', 'arizona']",answer count major city loc_2 stateid(arizona),answer count major city loc_2 stateid(arizona),1
16,67,"['quante', 'ε', 'grandi', 'città', 'ci', 'sono', 'in', 'florida']",answer count major city loc_2 stateid(florida),answer count major city loc_2 stateid(florida),1
17,68,"['quante', 'ε', 'grandi', 'città', 'ci', 'sono', 'in', 'stati', 'confinanti', 'con', 'il', 'nebraska']",answer count major city loc_2 state next_to_2 stateid(nebraska),answer count major city loc_2 state next_to_2 stateid(nebraska),1
18,69,"['quante', 'ε', 'grandi', 'città', 'ci', 'sono', 'in', 'stati', 'confinanti', 'con', 'lo', 'utah']",answer count major city loc_2 state next_to_2 stateid(utah),answer count major city loc_2 state next_to_2 stateid(utah),1
19,70,"['quante', 'ε', 'grandi', 'città', 'in', 'texas']",answer count major city loc_2 stateid(texas),answer count major city loc_2 stateid(texas),1
20,72,"['quante', 'ε', 'grandi', 'città', 'ci', 'sono', 'in', 'oregon']",answer count major city loc_2 stateid(oregon),answer count major city loc_2 stateid(oregon),1
21,73,"['quanti', 'ε', 'grandi', 'fiumi', 'attraversano', 'l', 'ohio']",answer count major river traverse_2 stateid(ohio),answer count major river traverse_2 stateid(ohio),1
22,99,"['quante', 'ε', 'persone', 'vivono', 'nella', 'città', 'più', 'grande', 'nello', 'stato', 'di', 'new', 'york']",answer population_1 city largest loc_2 stateid(new york),answer population_1 city largest stateid(new york),0
23,102,"['quante', 'ε', 'persone', 'vivono', 'nello', 'stato', 'più', 'piccolo', 'che', 'confina', 'con', 'il', 'wyoming']",answer population_1 state smallest next_to_2 stateid(wyoming),answer population_1 state smallest next_to_2 stateid(wyoming),0
24,117,"['quanti', 'ε', 'fiumi', 'sono', 'nello', 'stato', 'che', 'ha', 'più', 'fiumi']",answer count river loc_2 state loc_1 most river(all),answer count river loc_2 state(all) largest_one river,0
25,118,"['quanti', 'ε', 'fiumi', 'sono', 'nello', 'stato', 'con', 'il', 'picco', 'più', 'alto']",answer count river loc_2 state loc_1 place(all) highest,answer count river loc_2 state(all) loc_1 place highest,0
26,119,"['quanti', 'ε', 'fiumi', 'sono', 'nello', 'stato', 'con', 'la', 'popolazione', 'più', 'grande']",answer count river loc_2 state(all) population_1 largest_one,answer count river state(all) population_1 largest_one,0
27,123,"['quanti', 'ε', 'fiumi', 'non', 'attraversano', 'lo', 'stato', 'con', 'capitale', 'ε', 'albany']","answer count river(all) exclude traverse_2 state loc_1 capital cityid(albany, _)",answer count river traverse_2 state(all) capital,0
28,126,"['quanti', 'ε', 'fiumi', 'in', 'texas', 'sono', 'più', 'lunghi', 'del', 'red']",answer count intersection river loc_2 stateid(texas) longer riverid(red),answer count river loc_2 stateid(texas) longest riverid(red),1
