,ID,NL,MR,PRED,MONOTONIC
0,6,zahle die staaten welche erhebungen haben die niedriger liegen als jene in alabama,count state answer low_point_2 lower_2 low_point_1 stateid(alabama),answer state loc_1 placeid(alabama),0
1,23,wie hoch sind hoechsten erhebungen aller staaten,answer elevation_1 highest place loc_2 state(all),answer highest place loc_2 state(all),1
2,26,wie hoch liegt der hoechste punkt in amerika,answer elevation_1 highest place loc_2 countryid(usa),answer highest place loc_2 countryid(usa),1
3,27,wie hoch ist der hoechste punkt in montana,answer elevation_1 highest place loc_2 stateid(montana),answer highest place loc_2 stateid(montana),1
4,28,wie hoch liegt der hoechste punkt des groessten staates,answer elevation_1 highest place loc_2 largest state(all),answer highest place loc_2 largest state(all),1
5,29,wie hoch liegt der hoechste punkt in alabama,answer elevation_1 highest place loc_2 stateid(alabama),answer highest place loc_2 stateid(alabama),1
6,30,wie hoch liegt der hoechste punkt von delaware,answer elevation_1 highest place loc_2 stateid(delaware),answer highest place loc_2 stateid(delaware),1
7,31,wie hoch liegt der hoechste punkt floridas,answer elevation_1 highest place loc_2 stateid(florida),answer highest place loc_2 stateid(florida),1
8,32,wie hoch liegt der hoechste punkt von louisiana,answer elevation_1 highest place loc_2 stateid(louisiana),answer highest place loc_2 stateid(louisiana),1
9,35,wie gross ist die groesste stadt in alaska,answer size largest city loc_2 stateid(alaska),answer largest city loc_2 stateid(alaska),1
10,39,wie lang ist der laengste fluss californias,answer len longest river loc_2 stateid(california),answer len riverid(california),1
11,40,wie lange ist der laengste fluss der usa,answer len longest river loc_2 countryid(usa),answer len river loc_2 countryid(usa),1
12,48,wie lang ist der kuerzeste fluss in den usa,answer len shortest river loc_2 countryid(usa),answer len river loc_2 countryid(usa),1
13,49,wie viele grosse staedte gibt es in pennsylvania,answer count major city loc_2 stateid(pennsylvania),answer count capital loc_2 stateid(pennsylvania),1
14,59,wie viele staedte mit dem namen austin gibt es in den usa,"answer count intersection city cityid(austin, _)loc_2 countryid(usa)","answer count city loc_2 countryid(austin, _)",1
15,66,wie viele grosse staedte gibt es in arizona,answer count major city loc_2 stateid(arizona),answer count capital loc_2 stateid(arizona),1
16,67,wie viele wichtige staedte gibt es in florida,answer count major city loc_2 stateid(florida),answer count capital loc_2 stateid(florida),1
17,68,wie viele wichtige staedte gibt es in den staaten welche an nebraska grenzen,answer count major city loc_2 state next_to_2 stateid(nebraska),answer count capital next_to_2 stateid(nebraska),1
18,69,wie viele groessere staedte sind in staaten die an utah angrenzen,answer count major city loc_2 state next_to_2 stateid(utah),answer count major city loc_2 stateid(utah),1
19,70,wie viele wichtige staedte gibt es in texas,answer count major city loc_2 stateid(texas),answer count capital loc_2 stateid(texas),1
20,72,wie viele wichtige staedte gibt es in oregon,answer count major city loc_2 stateid(oregon),answer count capital loc_2 stateid(oregon),1
21,73,wie viele groessere fluesse durchqueren ohio,answer count major river traverse_2 stateid(ohio),answer count river traverse_2 stateid(ohio),1
22,99,wie viele menschen leben in der groessten stadt von new york state,answer population_1 largest city loc_2 stateid(new york),"answer population_1 largest cityid(new york, _)",1
23,102,wie viele leute leben in dem kleinsten staat welcher an wyoming grenzt,answer population_1 smallest state next_to_2 stateid(wyoming),answer population_1 smallest state next_to_2 stateid(wyoming),1
24,117,wie viele fluesse gibt es im staat mit den meisten fluessen,answer count river loc_2 state loc_1 most river(all),answer count river loc_2 state(all),0
25,118,wie viele fluesse gibt es im staat mit dem hoechsten punkt,answer count river loc_2 state loc_1 highest place(all),answer count river loc_2 state(all) highest place,1
26,119,wie viele fluesse sind in dem staat mit der groessten bevoelkerung,answer count river loc_2 state(all) largest_one population_1,answer count river loc_2 state(all) largest_one population_1,0
27,123,wie viele fluesse verlaufen nicht durch den staat mit der hauptstadt albany,"answer count river(all) exclude traverse_2 state loc_1 capital cityid(albany, _)",answer river traverse_2 stateid(albany),1
28,126,wie viele fluesse in texas sind laenger als der red,answer count intersection river loc_2 stateid(texas) longer riverid(red),answer count river loc_2 stateid(texas),1
29,129,wie viele fluesse fliessen durch die staaten die colorado angrenzen,answer count river traverse_2 state stateid(colorado) next_to_2,answer count river traverse_2 stateid(colorado),0
30,133,wie viele staaten liegen neben wichtigten fluessen,answer count state next_to_2 major river(all),answer count state next_to_2 river(all),1
31,139,wie viele staaten grenzen an colorado und new mexico,answer count state next_to_2 stateid(colorado) intersection next_to_2 stateid(new mexico),answer count state next_to_2 stateid(colorado),0
32,142,wie viele staaten grenzen an den staat dessen hauptstadt boston ist,"answer count state next_to_2 state loc_1 capital cityid(boston, _)",answer count state next_to_2 stateid(boston),1
33,145,wie viele staaten grenzen an dem groessten staat,answer count state next_to_2 largest state(all),answer count state next_to_2 largest state(all),1
34,147,wie viele staaten grenzen an den staat mit den meisten nachbarstaaten,answer count state next_to_2 state next_to_2 most state(all),answer count state next_to_2 state(all),0
35,148,wie viele staaten grenzen an den staat mit der groessten bevoelkerung,answer count state next_to_2 state(all) largest_one population_1,answer count state next_to_2 state(all) largest_one population_1,0
36,149,wie viele staaten haben keine fluesse,answer count state(all) loc_1 exclude river(all),answer count state have(all) river,0
37,159,in wie vielen staaten gibt es eine stadt mit dem namen rochester,"answer count state loc_1 city cityid(rochester, _)",answer count city loc_2 stateid(rochester),1
38,160,in wie vielen staaten gibt es eine stadt namens springfield,"answer count state loc_1 city cityid(springfield, _)",answer count city loc_2 stateid(springfield),1
39,161,wie viele staaten haben einen hoeher gelegenen punkt als der hoechstgelegene punkt des staates mit der groessten hauptstadt in den usa,answer count state loc_1 higher_2 place highest place loc_2 state loc_1 largest capital city loc_2 countryid(usa),answer count state loc_1 highest place(all),0
40,162,wie viele staaten habe staedte die austin heissen,"answer count state loc_1 city cityid(austin, _)","answer count state state loc_1 cityid(austin, _)",1
41,163,wie viele staaten haben staedte welche nach springfield benannt sind,"answer count state loc_1 city cityid(springfield, _)",answer count state next_to_2 stateid(springfield),1
42,164,wie viele staaten haben wichtige fluesse,answer count state loc_1 major river(all),answer count state traverse_1 river(all),1
43,165,durch wie viele staaten der usa fliesst der kuerzeste fluss,answer count intersection state loc_2 countryid(usa) traverse_1 shortest river(all),answer count state traverse_1 riverid(usa),1
44,168,wie hoch ist der hoechste punkt in montana,answer elevation_1 highest place loc_2 stateid(montana),answer highest place loc_2 stateid(montana),1
45,170,was ist der staat mit der hoechsten hoehe in den vereinigten staaten,answer state loc_1 highest place loc_2 countryid(usa),answer state highest place loc_2 countryid(usa),1
46,181,nenne die staaten an die keine anderen staaten angrenzen,answer state(all) next_to_2 exclude state(all),answer state next_to_2 state(all),0
47,185,welcher staat hat die niedrigste erhebung in den staaten durch welche der mississippi fluss verlaeuft,answer state loc_1 lowest place loc_2 state traverse_1 riverid(mississippi),answer state loc_1 lowest place loc_2 state traverse_1 riverid(mississippi),1
48,189,sacramento ist die hauptstadt welcher staat,"cityid(sacramento, _) capital loc_1 answer state",answer capital loc_2 state(sacramento),0
49,196,durch welche staaten fliesst der laengste fluss in texas,answer state traverse_1 longest river loc_2 stateid(texas),traverse_1 answer state river longest_one river loc_2 stateid(texas),0
50,202,wie lauten die hauptstaedte der staaten welche an texas grenzen,answer capital city loc_2 state next_to_2 stateid(texas),answer capital loc_2 stateid(texas),1
51,204,wie lauten die hauptstaedte der staaten welche an missouri grenzen,answer capital loc_2 state next_to_2 stateid(missouri),answer capital loc_2 stateid(missouri),1
52,205,welches sind die hauptstaedte der an texas angrenzenden staaten,answer capital loc_2 next_to_2 stateid(texas) state,answer capital city loc_2 stateid(texas),0
53,207,wie lauten die staedte in den staaten durch welchder mississippi fluss verlaeuft,answer city loc_2 state traverse_1 riverid(mississippi),answer city loc_2 state traverse_1 riverid(mississippi),1
54,208,welches sind die staedte des staates mit der hoechsten erhebung,answer city loc_2 state loc_1 highest place(all),answer city loc_2 stateid(usa) highest place,1
55,210,wie lauten die hoechsten punkte der staaten welche mississippi umgeben,answer highest place loc_2 state next_to_2 stateid(mississippi),answer highest place loc_2 stateid(mississippi),1
56,211,wie lauten die namen der seen der staaten welche an texas grenzen,answer loc_2 lake state next_to_2 stateid(texas),answer lake next_to_2 stateid(texas),0
57,212,welches sind die groessten staedte in an den groessten staat angrenzende staaten,answer largest city loc_2 next_to_2 largest state state(all),answer major city loc_2 largest state(all) state,1
58,225,welches sind grosse staedte in den staaten durch die der mississippi fliesst,answer major city loc_2 state traverse_1 riverid(mississippi),answer major city loc_2 state traverse_1 riverid(mississippi),1
59,227,was sind die groessten staedte in dem groessten staat,answer major city loc_2 largest state(all),answer major city loc_2 largest state(all),1
60,228,welches sind die groessten staedte im kleinsten staat der usa,answer major city loc_2 smallest state loc_2 countryid(usa),answer major city loc_2 smallest state(all),1
61,230,wie lauten die wichtigsten staedte in den vereinigten staaten durch welche der wichtigste fluss in virginia verlaeuft,answer major city loc_2 state traverse_1 major river loc_2 stateid(virginia),answer major city loc_2 countryid(virginia),1
62,244,wie gross sind die bevoelkerungen aller wichtigen staedte in montana,answer population_1 major city loc_2 stateid(montana),answer population_1 major city loc_2 stateid(montana),1
63,250,welches sind die einwohnerzahlen der grossen staedte in texas,answer population_1 major city loc_2 stateid(texas),answer population_1 major city loc_2 stateid(texas),1
64,260,welche staaten grenzen an den hoechstbevoelkertsten staat,answer state next_to_2 largest_one population_1 state(all),answer state next_to_2 highest_point_1 state(all),1
65,268,welche staedte in texas die groesste bevoelkerung,answer city loc_2 stateid(texas) largest_one population_1,answer city(all) largest_one population_1,0
66,269,welche stadt in texas hat die groesste bevoelkerung,answer city loc_2 stateid(texas) largest_one population_1,answer city(all) largest_one population_1,0
