,ID,NL,MR,PRED,MONOTONIC
0,6,"['zahle', 'die', 'staaten', 'welche', 'ε', 'erhebungen', 'haben', 'die', 'niedriger', 'liegen', 'als', 'jene', 'in', 'alabama']",count state answer low_point_2 lower_2 low_point_1 stateid(alabama),answer state answer state lowest loc_2 stateid(alabama),0
1,23,"['wie', 'hoch', 'sind', 'hoechsten', 'erhebungen', 'aller', 'staaten']",answer elevation_1 highest place loc_2 state(all),answer elevation_1 highest place(all) state(all),1
2,26,"['wie', 'hoch', 'liegt', 'der', 'hoechste', 'punkt', 'in', 'amerika']",answer elevation_1 highest place loc_2 countryid(usa),answer highest place loc_2 countryid(usa),1
3,27,"['wie', 'hoch', 'ist', 'der', 'hoechste', 'punkt', 'in', 'montana']",answer elevation_1 highest place loc_2 stateid(montana),answer highest place loc_2 stateid(montana),1
4,28,"['wie', 'hoch', 'liegt', 'der', 'hoechste', 'punkt', 'des', 'ε', 'groessten', 'staates']",answer elevation_1 highest place loc_2 largest state(all),answer highest place loc_2 largest state(all),1
5,29,"['wie', 'hoch', 'liegt', 'der', 'hoechste', 'punkt', 'in', 'alabama']",answer elevation_1 highest place loc_2 stateid(alabama),answer highest place loc_2 stateid(alabama),1
6,30,"['wie', 'hoch', 'liegt', 'der', 'hoechste', 'punkt', 'von', 'delaware']",answer elevation_1 highest place loc_2 stateid(delaware),answer highest place loc_2 stateid(delaware),1
7,31,"['wie', 'hoch', 'liegt', 'der', 'hoechste', 'punkt', 'floridas']",answer elevation_1 highest place loc_2 stateid(florida),answer elevation_1 highest place stateid(florida),1
8,32,"['wie', 'hoch', 'liegt', 'der', 'hoechste', 'punkt', 'von', 'louisiana']",answer elevation_1 highest place loc_2 stateid(louisiana),answer highest place loc_2 stateid(louisiana),1
9,35,"['wie', 'gross', 'ε', 'ist', 'die', 'groesste', 'stadt', 'ε', 'in', 'alaska']",answer size largest city loc_2 stateid(alaska),answer size largest city loc_2 stateid(alaska),1
