,ID,NL,MR,PRED,MONOTONIC
0,4,"['koennenst', 'du', 'mir', 'die', 'hauptstadt', 'von', 'texas', 'nennen']",capital loc_2 stateid(texas) answer,answer capital loc_2 stateid(texas) answer,0
1,6,"['zahle', 'die', 'staaten', 'welche', 'erhebungen', 'haben', 'die', 'niedriger', 'liegen', 'als', 'jene', 'in', 'alabama']",count state answer low_point_2 lower_2 low_point_1 stateid(alabama),answer state next_to_2 answer loc_2 higher_2 high_point_1,0
2,12,"['nenne', 'mir', 'die', 'seen', 'in', 'california']",answer lake loc_2 stateid(california),answer lake loc_2 stateid(california) answer,1
3,15,"['nenne', 'mir', 'die', 'anzahl', 'der', 'fluesse', 'in', 'california']",answer count river loc_2 stateid(california),sum river loc_2 stateid(california),1
4,59,"['wie', 'viele', 'staedte', 'mit', 'dem', 'namen', 'austin', 'gibt', 'es', 'in', 'den', 'usa']","answer count intersection city cityid(austin, _)loc_2 countryid(usa)","answer count city cityid(austin, _) loc_2 countryid(usa)",1
5,61,"['wie', 'viele', 'bewohner', 'hat', 'alabama']",answer population_1 stateid(alabama),population_1 stateid(alabama),1
6,63,"['wie', 'viele', 'staatsbuerger', 'wohnen', 'in', 'california']",answer population_1 stateid(california),population_1 stateid(california),1
7,74,"['wie', 'viele', 'einwohner', 'hat', 'nevada']",answer population_1 stateid(nevada),population_1 stateid(nevada),1
8,75,"['wie', 'viele', 'leute', 'gibt', 'es', 'in', 'iowa']",answer population_1 stateid(iowa),answer population_1 loc_2 stateid(iowa),1
9,76,"['wie', 'viele', 'leute', 'gibt', 'es', 'in', 'new', 'york']",answer population_1 stateid(new york),population_1 loc_2 stateid(new york),1
10,80,"['wie', 'viele', 'einwohner', 'hat', 'california']",answer population_1 stateid(california),population_1 stateid(california),1
11,83,"['wie', 'hoch', 'ist', 'die', 'bevoelkerung', 'von', 'hawaii']",answer population_1 stateid(hawaii),answer population_1 stateid(hawaii),1
12,86,"['wie', 'viele', 'leute', 'wohnen', 'in', 'kansas']",answer population_1 stateid(kansas),answer population_1 answer stateid(kansas),1
13,88,"['wie', 'viele', 'leute', 'leben', 'in', 'mississippi']",answer population_1 stateid(mississippi),answer population_1 stateid(mississippi),1
14,89,"['wie', 'viele', 'leute', 'wohnen', 'in', 'montana']",answer population_1 stateid(montana),answer population_1 answer stateid(montana),1
15,90,"['wie', 'viele', 'leute', 'wohnen', 'in', 'new', 'hampshire']",answer population_1 stateid(new hampshire),"population_1 cityid(minneapolis, mn)",1
16,91,"['welches', 'ist', 'die', 'einwohnerzahl', 'von', 'new', 'mexico']",answer population_1 stateid(new mexico),population_1 stateid(new mexico),1
17,92,"['wie', 'viele', 'einwohner', 'hat', 'new', 'york']",answer population_1 stateid(new york),population_1 stateid(new york),1
18,93,"['wie', 'viele', 'leute', 'leben', 'in', 'rhode', 'island']",answer population_1 stateid(rhode island),answer population_1 stateid(rhode island),1
19,96,"['wie', 'viele', 'leute', 'wohnen', 'in', 'sud', 'dakota']",answer population_1 stateid(south dakota),"answer population_1 answer cityid(san francisco, _)",1
20,98,"['wie', 'gross', 'ist', 'die', 'bevoelkerung', 'von', 'texas']",answer population_1 stateid(texas),answer population_1 stateid(texas),1
21,104,"['wie', 'viele', 'menschen', 'leben', 'in', 'den', 'usa']",answer population_1 countryid(usa),answer population_1 countryid(usa),1
22,105,"['welches', 'ist', 'die', 'einwohnerzahl', 'von', 'washington']",answer population_1 stateid(washington),"population_1 cityid(washington, dc)",1
23,108,"['wie', 'viele', 'menschen', 'leben', 'in', 'utah']",answer population_1 stateid(utah),answer population_1 stateid(utah),1
24,109,"['welches', 'ist', 'die', 'bevoelkerungszahl', 'von', 'utah']",answer population_1 stateid(utah),answer population_1 stateid(utah),1
25,110,"['wie', 'viele', 'einwohner', 'leben', 'in', 'texas']",answer population_1 stateid(texas),population_1 stateid(texas),1
26,112,"['wie', 'viele', 'fluesse', 'gibt', 'es', 'in', 'colorado']",answer count river loc_2 stateid(colorado),answer count river answer loc_2 stateid(colorado),1
27,113,"['wie', 'viele', 'fluesse', 'sind', 'in', 'colorado']",answer count river loc_2 stateid(colorado),answer count river loc_2 stateid(colorado),1
28,114,"['wie', 'viele', 'fluesse', 'gibt', 'es', 'in', 'iowa']",answer count river loc_2 stateid(iowa),answer count river traverse_2 answer stateid(iowa),1
