,ID,NL,MR,PRED,MONOTONIC
0,3,"['name', 'all', 'the', 'rivers', 'in', 'ε', 'colorado']",answer river loc_2 stateid(colorado),answer river loc_2 stateid(colorado),1
1,6,"['count', 'the', 'states', 'which', 'ε', 'have', 'elevations', 'lower', 'than', 'what', 'ε', 'alabama', 'has']",count state answer low_point_2 lower_2 low_point_1 stateid(alabama),answer state loc_1 place higher_2 answer stateid(alabama) loc_1,0
2,15,"['give', 'me', 'the', 'number', 'of', 'rivers', 'in', 'ε', 'california']",answer count river loc_2 stateid(california),answer count river loc_2 stateid(california),1
3,16,"['give', 'me', 'the', 'states', 'that', 'border', 'utah']",answer state next_to_2 stateid(utah),answer state next_to_2 stateid(utah),1
4,25,"['how', 'high', 'is', 'mount', 'mckinley']",answer elevation_1 placeid(mount mckinley),answer elevation_1 placeid(mount mckinley),1
5,26,"['how', 'high', 'is', 'the', 'highest', 'point', 'in', 'ε', 'america']",answer elevation_1 highest place loc_2 countryid(usa),answer elevation_1 highest place loc_2 countryid(usa),1
6,29,"['how', 'high', 'is', 'the', 'highest', 'point', 'of', 'alabama']",answer elevation_1 highest place loc_2 stateid(alabama),answer elevation_1 highest place loc_2 stateid(alabama),1
7,33,"['how', 'large', 'is', 'alaska']",answer size stateid(alaska),answer size stateid(alaska),1
8,34,"['how', 'large', 'is', 'texas']",answer size stateid(texas),answer size stateid(texas),1
9,37,"['how', 'long', 'is', 'the', 'colorado', 'river']",answer len riverid(colorado),answer len riverid(colorado),1
10,38,"['how', 'long', 'is', 'the', 'delaware', 'river']",answer len riverid(delaware),answer len stateid(delaware),1
11,39,"['how', 'long', 'is', 'the', 'longest', 'river', 'in', 'ε', 'california']",answer len longest river loc_2 stateid(california),answer len longest river loc_2 stateid(california),1
12,40,"['how', 'long', 'is', 'the', 'longest', 'river', 'in', 'ε', 'the', 'usa']",answer len longest river loc_2 countryid(usa),answer len longest river loc_2 countryid(usa),1
13,45,"['how', 'long', 'is', 'the', 'north', 'platte', 'river']",answer len riverid(north platte),answer len stateid(north dakota),1
14,46,"['how', 'long', 'is', 'the', 'ohio', 'river']",answer len riverid(ohio),answer len riverid(ohio),1
15,50,"['how', 'many', 'ε', 'capitals', 'does', 'rhode', 'island', 'have']",answer count capital stateid(rhode island) loc_2,answer count capital(all) stateid(rhode island) loc_2,0
16,53,"['how', 'many', 'ε', 'cities', 'are', 'there', 'in', 'ε', 'the', 'united', 'states']",answer count city loc_2 countryid(usa),answer count city loc_2 countryid(usa),1
17,60,"['how', 'many', 'ε', 'citizens', 'does', 'the', 'biggest', 'city', 'have', 'in', 'ε', 'the', 'usa']",answer population_1 largest city(all),answer population_1 largest city loc_2 loc_2 countryid(usa),1
18,64,"['how', 'many', 'ε', 'colorado', 'rivers', 'are', 'there']",answer count riverid(colorado) river,answer count riverid(colorado),1
19,82,"['how', 'many', 'ε', 'people', 'live', 'in', 'ε', 'detroit']","answer population_1 cityid(detroit, _)",answer population_1 stateid(michigan),1
20,84,"['how', 'many', 'ε', 'people', 'live', 'in', 'ε', 'houston']","answer population_1 cityid(houston, _)","answer population_1 cityid(houston, _)",1
21,87,"['how', 'many', 'ε', 'people', 'live', 'in', 'ε', 'minneapolis', 'minnesota']","answer population_1 cityid(minneapolis, mn",answer population_1 stateid(minnesota) stateid(minnesota),1
22,88,"['how', 'many', 'ε', 'people', 'live', 'in', 'ε', 'mississippi']",answer population_1 stateid(mississippi),answer population_1 stateid(mississippi),1
23,93,"['how', 'many', 'ε', 'people', 'live', 'in', 'ε', 'rhode', 'island']",answer population_1 stateid(rhode island),answer population_1 stateid(rhode island),1
24,99,"['how', 'many', 'ε', 'people', 'live', 'in', 'ε', 'the', 'biggest', 'city', 'in', 'ε', 'new', 'york', 'state']",answer population_1 largest city loc_2 stateid(new york),answer population_1 largest city loc_2 stateid(new york),1
25,101,"['how', 'many', 'ε', 'people', 'live', 'in', 'ε', 'the', 'capital', 'of', 'texas']",answer population_1 capital loc_2 stateid(texas),answer population_1 capital loc_2 stateid(texas),1
26,104,"['how', 'many', 'ε', 'people', 'live', 'in', 'ε', 'the', 'usa']",answer population_1 countryid(usa),answer population_1 countryid(usa),1
27,107,"['how', 'many', 'ε', 'people', 'live', 'in', 'ε', 'austin']",answer population_1 cityid(austin),"answer population_1 cityid(austin, _)",1
28,108,"['how', 'many', 'ε', 'people', 'reside', 'in', 'ε', 'utah']",answer population_1 stateid(utah),answer population_1 stateid(utah),1
29,110,"['how', 'many', 'ε', 'residents', 'live', 'in', 'ε', 'texas']",answer population_1 stateid(texas),answer population_1 stateid(texas),1
30,114,"['how', 'many', 'ε', 'rivers', 'are', 'in', 'ε', 'iowa']",answer count river loc_2 stateid(iowa),answer count river loc_2 stateid(iowa),1
31,117,"['how', 'many', 'ε', 'rivers', 'are', 'in', 'ε', 'the', 'state', 'that', 'has', 'most', 'rivers']",answer count river loc_2 state loc_1 most river(all),answer count river loc_2 traverse_1 state loc_1 most river(all),0
32,125,"['how', 'many', 'ε', 'rivers', 'does', 'colorado', 'have']",answer count river stateid(colorado) loc_2,answer count river stateid(colorado) loc_2,0
33,132,"['how', 'many', 'ε', 'states', 'are', 'there', 'in', 'ε', 'the', 'usa']",answer count state loc_2 countryid(usa),answer count state loc_2 countryid(usa),1
34,134,"['how', 'many', 'ε', 'states', 'are', 'there']",answer count state(all),answer count state(all),1
35,135,"['how', 'many', 'ε', 'states', 'are', 'there', 'in', 'ε', 'the', 'usa']",answer count state loc_2 countryid(usa),answer count state loc_2 countryid(usa),1
36,141,"['how', 'many', 'ε', 'states', 'border', 'iowa']",answer count state next_to_2 stateid(iowa),answer count state next_to_2 stateid(iowa),1
37,148,"['how', 'many', 'ε', 'states', 'border', 'the', 'state', 'with', 'the', 'largest', 'population']",answer count state next_to_2 state(all) largest_one population_1,answer count state next_to_2 state(all) largest_one population_1,0
38,149,"['how', 'many', 'ε', 'states', 'do', 'not', 'have', 'rivers']",answer count state(all) exclude loc_1 river(all),answer count state(all) exclude loc_1 river(all),0
39,152,"['how', 'many', 'ε', 'states', 'does', 'tennessee', 'border']",answer count state stateid(tennessee) next_to_1,answer count state stateid(tennessee) next_to_1,0
40,158,"['how', 'many', 'ε', 'states', 'does', 'the', 'usa', 'have']",answer count state countryid(usa) loc_2,answer count state countryid(usa) loc_2,0
41,161,"['how', 'many', 'ε', 'states', 'have', 'a', 'higher', 'point', 'than', 'the', 'highest', 'point', 'of', 'the', 'state', 'with', 'the', 'largest', 'capital', 'city', 'in', 'ε', 'the', 'us']",answer count state loc_1 higher_2 place highest loc_1 place loc_2 state largest capital city loc_2 countryid(usa),answer count state loc_1 higher_2 place highest place loc_2 state loc_1 largest capital city loc_2 countryid(usa),0
42,166,"['how', 'much', 'population', 'does', 'texas', 'have']",answer population_1 stateid(texas),answer population_1 stateid(texas),1
