,ID,NL,MR,PRED,MONOTONIC
0,3,"['answer', 'river', 'loc_2', 'stateid(colorado)']",answer river loc_2 stateid(colorado),answer river loc_2 stateid(colorado),1
1,6,"['count', 'state', 'answer', 'low_point_2', 'lower_2', 'low_point_1', 'stateid(alabama)']",answer count state low_point_2 lower_2 low_point_1 stateid(alabama),answer state elevation_1 higher_2 state next_to_1 stateid(montana),0
2,15,"['answer', 'count', 'river', 'loc_2', 'stateid(california)']",answer count river loc_2 stateid(california),answer count river loc_2 stateid(california),1
3,16,"['answer', 'state', 'next_to_2', 'stateid(utah)']",answer state next_to_2 stateid(utah),answer state next_to_2 stateid(utah),1
4,25,"['answer', 'elevation_1', 'placeid(mount mckinley)']",answer elevation_1 placeid(mount mckinley),answer elevation_1 placeid(mount mckinley),1
5,26,"['answer', 'elevation_1', 'highest', 'place', 'loc_2', 'countryid(usa)']",answer elevation_1 highest place loc_2 countryid(usa),answer elevation_1 highest place loc_2 countryid(usa),1
6,29,"['answer', 'elevation_1', 'highest', 'place', 'loc_2', 'stateid(alabama)']",answer elevation_1 highest place loc_2 stateid(alabama),answer elevation_1 highest place loc_2 stateid(alabama),1
7,33,"['answer', 'size', 'stateid(alaska)']",answer size stateid(alaska),answer size stateid(alaska),1
8,34,"['answer', 'size', 'stateid(texas)']",answer size stateid(texas),answer size stateid(texas),1
9,37,"['answer', 'len', 'riverid(colorado)']",answer len riverid(colorado),answer len riverid(colorado),1
10,38,"['answer', 'len', 'riverid(delaware)']",answer len riverid(delaware),answer len riverid(missouri),1
11,39,"['answer', 'len', 'longest', 'river', 'loc_2', 'stateid(california)']",answer len longest river loc_2 stateid(california),answer len longest river loc_2 stateid(california),1
12,40,"['answer', 'len', 'longest', 'river', 'loc_2', 'countryid(usa)']",answer len longest river loc_2 countryid(usa),answer len longest river loc_2 countryid(usa),1
13,45,"['answer', 'len', 'riverid(north platte)']",answer len riverid(north platte),answer len stateid(north dakota),1
14,46,"['answer', 'len', 'riverid(ohio)']",answer len riverid(ohio),answer len riverid(missouri),1
15,50,"['answer', 'count', 'capital', 'stateid(rhode island)', 'loc_2']",answer count capital loc_2 stateid(rhode island),answer count capital stateid(rhode island) countryid(usa),0
16,53,"['answer', 'count', 'city', 'loc_2', 'countryid(usa)']",answer count city loc_2 countryid(usa),answer count city loc_2 countryid(usa),1
17,60,"['answer', 'population_1', 'largest', 'city(all)']",answer population_1 largest city(all),answer population_1 largest city loc_2 loc_2 countryid(usa),1
18,64,"['answer', 'count', 'riverid(colorado)', 'river']",answer count river riverid(colorado),answer count riverid(colorado),1
19,82,"['answer', 'population_1', 'cityid(detroit, _)']","answer population_1 cityid(detroit, _)",answer population_1 stateid(michigan),1
20,84,"['answer', 'population_1', 'cityid(houston, _)']","answer population_1 cityid(houston, _)","answer population_1 cityid(houston, _)",1
21,87,"['answer', 'population_1', 'cityid(minneapolis, mn']","answer population_1 cityid(minneapolis, mn)",answer population_1 stateid(minnesota),1
22,88,"['answer', 'population_1', 'stateid(mississippi)']",answer population_1 stateid(mississippi),answer population_1 stateid(mississippi),1
23,93,"['answer', 'population_1', 'stateid(rhode island)']",answer population_1 stateid(rhode island),answer population_1 stateid(rhode island),1
24,99,"['answer', 'population_1', 'largest', 'city', 'loc_2', 'stateid(new york)']",answer population_1 largest city loc_2 stateid(new york),answer population_1 largest city loc_2 stateid(new york),1
25,101,"['answer', 'population_1', 'capital', 'loc_2', 'stateid(texas)']",answer population_1 capital loc_2 stateid(texas),answer population_1 capital loc_2 stateid(texas),1
26,104,"['answer', 'population_1', 'countryid(usa)']",answer population_1 countryid(usa),answer population_1 countryid(usa),1
27,107,"['answer', 'population_1', 'cityid(austin)']","answer population_1 cityid(austin, _)","answer population_1 cityid(austin, _)",1
28,108,"['answer', 'population_1', 'stateid(utah)']",answer population_1 stateid(utah),answer population_1 stateid(utah),1
29,110,"['answer', 'population_1', 'stateid(texas)']",answer population_1 stateid(texas),answer population_1 stateid(texas),1
30,114,"['answer', 'count', 'river', 'loc_2', 'stateid(iowa)']",answer count river loc_2 stateid(iowa),answer count river loc_2 stateid(iowa),1
31,117,"['answer', 'count', 'river', 'loc_2', 'state', 'loc_1', 'most', 'river(all)']",answer count river loc_2 most state loc_1 river(all),answer count most river loc_2 state traverse_1 river(all),0
32,125,"['answer', 'count', 'river', 'stateid(colorado)', 'loc_2']",answer count river loc_2 stateid(colorado),answer count river stateid(colorado) countryid(usa),0
33,132,"['answer', 'count', 'state', 'loc_2', 'countryid(usa)']",answer count state loc_2 countryid(usa),answer count state loc_2 countryid(usa),1
34,134,"['answer', 'count', 'state(all)']",answer count state(all),answer count state,1
35,135,"['answer', 'count', 'state', 'loc_2', 'countryid(usa)']",answer count state loc_2 countryid(usa),answer count state loc_2 countryid(usa),1
36,141,"['answer', 'count', 'state', 'next_to_2', 'stateid(iowa)']",answer count state next_to_2 stateid(iowa),answer count state next_to_2 stateid(iowa),1
