,ID,NL,MR,PRED,MONOTONIC
0,4,puoi dirmi la capitale del texas,answer capital loc_2 stateid(texas),answer capital loc_2 stateid(texas),1
1,6,conta gli stati che hanno elevazione inferiore a quella dell alabama,count state answer low_point_2 lower_2 low_point_1 stateid(alabama),answer state loc_1 place higher_2 placeid(alabama),0
2,12,dammi i laghi in california,answer lake loc_2 stateid(california),answer lake loc_2 stateid(california),1
3,15,dammi il numero di fiumi in california,answer count river loc_2 stateid(california),answer count river loc_2 stateid(california),1
4,59,quante città chiamate austin ci sono negli usa,"answer count intersection city cityid(austin, _) loc_2 countryid(usa)","answer count city cityid(austin, _) loc_2 countryid(usa)",1
5,61,quanti cittadini in alabama,answer population_1 stateid(alabama),"answer population_1 cityid(alabama, _)",1
6,63,quanti cittadini abitano in california,answer population_1 stateid(california),"answer population_1 cityid(california, _)",1
7,74,quante persone ci sono nello stato del nevada,answer population_1 stateid(nevada),answer population_1 stateid(nevada),1
8,75,quante persone ci sono in iowa,answer population_1 stateid(iowa),answer population_1 stateid(iowa),1
9,76,quante persone ci sono in new york,answer population_1 stateid(new york),"answer population_1 cityid(new york, _)",1
10,80,quante persone vivono in california,answer population_1 stateid(california),"answer population_1 cityid(california, _)",1
11,83,quante persone vivono nelle hawaii,answer population_1 stateid(hawaii),answer population_1 stateid(hawaii),1
12,86,quante persone vivono in kansas,answer population_1 stateid(kansas),"answer population_1 cityid(kansas, _)",1
13,88,quanti vivono in mississippi,answer population_1 stateid(mississippi),"answer population_1 cityid(mississippi, _)",1
14,89,quante persone vivono in montana,answer population_1 stateid(montana),"answer population_1 cityid(montana, _)",1
15,90,quante persone vivono in new hampshire,answer population_1 stateid(new hampshire),"answer population_1 cityid(new hampshire, _)",1
16,91,quante persone vivono in new mexico,answer population_1 stateid(new mexico),"answer population_1 cityid(new mexico, _)",1
17,92,quante persone vivono in new york,answer population_1 stateid(new york),"answer population_1 cityid(new york, _)",1
18,93,quante persone vivono in rhode island,answer population_1 stateid(rhode island),"answer population_1 cityid(rhode island, _)",1
19,96,quante persone vivono in south dakota,answer population_1 stateid(south dakota),"answer population_1 cityid(south dakota, _)",1
20,98,quante persone vivono in texas,answer population_1 stateid(texas),"answer population_1 cityid(texas, _)",1
21,104,quante persone vivono negli usa,answer population_1 countryid(usa),answer population_1 countryid(usa),1
22,105,quante persone vivono in washington,answer population_1 stateid(washington),"answer population_1 cityid(washington, _)",1
23,108,quante persone risiedono in utah,answer population_1 stateid(utah),"answer population_1 cityid(utah, _)",1
24,109,quante persone stanno in utah,answer population_1 stateid(utah),"answer population_1 cityid(utah, _)",1
25,110,quanti residenti vivono in texas,answer population_1 stateid(texas),"answer population_1 cityid(texas, _)",1
26,112,quanti fiumi si trovano in colorado,answer count river loc_2 stateid(colorado),answer count river loc_2 stateid(colorado),1
27,113,quanti fiumi sono in colorado,answer count river loc_2 stateid(colorado),answer count river loc_2 stateid(colorado),1
28,114,quanti fiumi sono in iowa,answer count river loc_2 stateid(iowa),answer count river loc_2 stateid(iowa),1
29,115,quanti fiumi sono in missouri,answer count river loc_2 stateid(missouri),answer count river loc_2 stateid(missouri),1
30,116,quanti fiumi sono in new york,answer count river loc_2 stateid(new york),answer count river loc_2 stateid(new york),1
31,120,quanti fiumi sono in idaho,answer count river loc_2 stateid(idaho),answer count river loc_2 stateid(idaho),1
32,121,quanti fiumi ci sono in texas,answer count river loc_2 stateid(texas),answer count river loc_2 stateid(texas),1
33,124,quanti fiumi ha l alaska,answer count river loc_2 stateid(alaska),answer count river loc_2 stateid(alaska),1
34,125,quanti fiumi ha il colorado,answer count river loc_2 stateid(colorado),answer count river loc_2 stateid(colorado),1
35,127,quanti fiumi in washington,answer count river loc_2 stateid(washington),answer count river loc_2 stateid(washington),1
36,137,quanti stati confinano con l alaska,answer count state next_to_2 stateid(alaska),answer count state next_to_2 stateid(alaska),1
37,140,quanti stati confinano con le hawaii,answer count state next_to_2 stateid(hawaii),answer count state next_to_2 stateid(hawaii),1
38,141,quanti stati confinano con l iowa,answer count state next_to_2 stateid(iowa),answer count state next_to_2 stateid(iowa),1
39,143,quanti stati confinano con il tennessee,answer count state next_to_2 stateid(tennessee),answer count state next_to_2 stateid(tennessee),1
40,144,quanti stati confinano con il texas,answer count state next_to_2 stateid(texas),answer count state next_to_2 stateid(texas),1
41,150,con quanti stati confina l iowa,answer count state next_to_1 stateid(iowa),answer count state next_to_2 stateid(iowa),1
42,151,con quanti stati confina il missouri,answer count state next_to_1 stateid(missouri),answer count state next_to_2 stateid(missouri),1
43,152,con quanti stati confina il tennessee,answer count state next_to_1 stateid(tennessee),answer count state next_to_2 stateid(tennessee),1
44,153,tramite quanti stati scorre il fiume colorado,traverse_1 answer count state riverid(colorado),traverse_1 answer count state riverid(colorado),0
45,154,tramite quanti stati scorre il fiume colorado,traverse_1 answer count state riverid(colorado),traverse_1 answer count state riverid(colorado),0
46,155,tramite quanti stati scorre il fiume mississippi,traverse_1 answer count state riverid(mississippi),traverse_1 answer count state riverid(mississippi),0
47,156,tramite quanti stati scorre il mississippi,traverse_1 answer count state riverid(mississippi),traverse_1 answer count state riverid(mississippi),0
48,157,tramite quanti stati scorre il fiume missouri,traverse_1 answer count state river riverid(missouri),traverse_1 answer count state riverid(missouri),0
49,166,quanta popolazione ha il texas,answer population_1 stateid(texas),answer population_1 stateid(texas),1
50,172,l iowa confina con quanti stati,stateid(iowa) next_to_1 answer count state,answer state next_to_2 state(iowa),0
51,176,nomina le cinquanta capitali in us,answer capital loc_2 countryid(usa),answer count capital city loc_2 countryid(usa),1
52,178,nomina i grandi laghi in michigan,answer major lake loc_2 stateid(michigan),answer major lake loc_2 stateid(michigan),1
53,179,nomina i grandi fiumi in florida,answer major river loc_2 stateid(florida),answer major river loc_2 stateid(florida),1
54,184,numero di stati che confinano con l iowa,answer count state next_to_2 stateid(iowa),answer count state next_to_2 stateid(iowa),1
55,189,sacramento è la capitale di quale stato,"cityid(sacramento, _) loc_1 capital answer state",answer city capital_1 loc_2 state(sacramento),0
56,196,tramite quali stati scorre il fiume più lungo in texas,traverse_1 answer state river longest loc_2 stateid(texas),traverse_1 answer state river longest loc_2 stateid(texas),0
57,200,quali sono i grandi fiumi in texas,answer major river loc_2 stateid(texas),answer major river loc_2 stateid(texas),1
58,201,quali sono i fiumi più grandi in texas,answer river longest loc_2 stateid(texas),answer river largest loc_2 stateid(texas),0
59,203,quale è la capitale del texas,answer capital city loc_2 stateid(texas),answer capital loc_2 stateid(texas),1
60,231,quali sono le grandi città in us,answer major city loc_2 countryid(usa),answer major city loc_2 countryid(usa),1
61,235,quali sono le grandi città in usa,answer major city loc_2 countryid(usa),answer major city loc_2 countryid(usa),1
62,236,quali sono le grandi città in usa,answer major city loc_2 countryid(usa),answer major city loc_2 countryid(usa),1
63,238,quali sono i grandi laghi in ohio,answer major river loc_2 stateid(ohio),answer major lake loc_2 stateid(ohio),1
64,239,quali sono i grandi fiumi in usa,answer major river loc_2 countryid(usa),answer major river loc_2 countryid(usa),1
65,243,quale è la popolazione del mississippi,answer population_1 stateid(mississippi),"answer population_1 cityid(mississippi, _)",1
66,263,cosa puoi dirmi della popolazione del missouri,answer population_1 stateid(missouri),"answer population_1 cityid(missouri, _)",1
67,271,quale città ha la popolazione più piccola,answer city(all) population_1 smallest_one,answer city(all) population_1 smallest_one,0
68,274,quale è la capitale dell iowa,answer capital loc_2 stateid(iowa),answer capital loc_2 stateid(iowa),1
69,290,quale è l area dello stato più grande,answer area_1 state(all) largest,answer area_1 state(all) largest,0
70,294,quale è l area degli usa,answer area_1 state(all),answer area_1 countryid(usa),1
71,298,quale è la popolazione media per chilometro quadrato in pennsylvania,answer density_1 stateid(pennsylvania),answer density_1 stateid(pennsylvania),1
72,314,quale è il fiume più grande in illinois,answer river longest loc_2 stateid(illinois),answer river largest loc_2 stateid(illinois),0
73,319,quale è la capitale della california,answer capital loc_2 stateid(california),answer capital loc_2 stateid(california),1
74,320,quale è la capitale del colorado,answer capital loc_2 stateid(colorado),answer capital loc_2 stateid(colorado),1
75,321,quale è la capitale della georgia,answer capital loc_2 stateid(georgia),answer capital loc_2 stateid(georgia),1
76,322,quale è la capitale delle hawaii,answer capital loc_2 stateid(hawaii),answer capital loc_2 stateid(hawaii),1
77,323,quale è la capitale dell illinois,answer capital loc_2 stateid(illinois),answer capital loc_2 stateid(illinois),1
78,324,quale è la capitale dell indiana,answer capital loc_2 stateid(indiana),answer capital loc_2 stateid(indiana),1
