,ID,NL,MR,PRED,MONOTONIC
0,4,"['puoi', 'dirmi', 'la', 'capitale', 'ε', 'del', 'texas']",answer capital loc_2 stateid(texas),answer capital loc_2 stateid(texas),1
1,6,"['conta', 'gli', 'stati', 'che', 'hanno', 'elevazione', 'inferiore', 'a', 'quella', 'dell', 'alabama']",count state answer low_point_2 lower_2 low_point_1 stateid(alabama),answer state loc_1 place next_to_2 stateid(alabama),0
2,12,"['dammi', 'i', 'laghi', 'in', 'california']",answer lake loc_2 stateid(california),answer lake loc_2 stateid(california),1
3,15,"['dammi', 'il', 'numero', 'di', 'fiumi', 'in', 'california']",answer count river loc_2 stateid(california),answer river loc_2 stateid(california),1
4,59,"['quante', 'ε', 'città', 'chiamate', 'austin', 'ci', 'sono', 'negli', 'usa']","answer count intersection city cityid(austin, _) loc_2 countryid(usa)","answer count city cityid(austin, _) loc_2 countryid(usa)",1
5,61,"['quanti', 'ε', 'cittadini', 'in', 'alabama']",answer population_1 stateid(alabama),answer population_1 stateid(alabama),1
6,63,"['quanti', 'ε', 'cittadini', 'abitano', 'in', 'california']",answer population_1 stateid(california),answer population_1 stateid(california),1
7,74,"['quante', 'ε', 'persone', 'ci', 'sono', 'nello', 'stato', 'ε', 'del', 'nevada']",answer population_1 stateid(nevada),answer population_1 loc_2 stateid(nevada),1
8,75,"['quante', 'ε', 'persone', 'ci', 'sono', 'in', 'iowa']",answer population_1 stateid(iowa),answer population_1 loc_2 stateid(iowa),1
9,76,"['quante', 'ε', 'persone', 'ci', 'sono', 'in', 'new', 'york']",answer population_1 stateid(new york),answer population_1 loc_2 stateid(new york),1
10,80,"['quante', 'ε', 'persone', 'vivono', 'in', 'california']",answer population_1 stateid(california),answer population_1 stateid(california),1
11,83,"['quante', 'ε', 'persone', 'vivono', 'nelle', 'hawaii']",answer population_1 stateid(hawaii),answer population_1 stateid(hawaii),1
12,86,"['quante', 'ε', 'persone', 'vivono', 'in', 'kansas']",answer population_1 stateid(kansas),answer population_1 stateid(kansas),1
13,88,"['quanti', 'ε', 'vivono', 'in', 'mississippi']",answer population_1 stateid(mississippi),answer stateid(mississippi),1
14,89,"['quante', 'ε', 'persone', 'vivono', 'in', 'montana']",answer population_1 stateid(montana),answer population_1 stateid(montana),1
15,90,"['quante', 'ε', 'persone', 'vivono', 'in', 'new', 'hampshire']",answer population_1 stateid(new hampshire),answer population_1 stateid(new hampshire),1
16,91,"['quante', 'ε', 'persone', 'vivono', 'in', 'new', 'mexico']",answer population_1 stateid(new mexico),answer population_1 stateid(new mexico),1
17,92,"['quante', 'ε', 'persone', 'vivono', 'in', 'new', 'york']",answer population_1 stateid(new york),answer population_1 stateid(new york),1
18,93,"['quante', 'ε', 'persone', 'vivono', 'in', 'rhode', 'island']",answer population_1 stateid(rhode island),answer population_1 stateid(rhode island),1
19,96,"['quante', 'ε', 'persone', 'vivono', 'in', 'south', 'dakota']",answer population_1 stateid(south dakota),answer population_1 stateid(south dakota),1
20,98,"['quante', 'ε', 'persone', 'vivono', 'in', 'texas']",answer population_1 stateid(texas),answer population_1 stateid(texas),1
21,104,"['quante', 'ε', 'persone', 'vivono', 'negli', 'usa']",answer population_1 countryid(usa),answer population_1 countryid(usa),1
22,105,"['quante', 'ε', 'persone', 'vivono', 'in', 'washington']",answer population_1 stateid(washington),answer population_1 stateid(washington),1
23,108,"['quante', 'ε', 'persone', 'risiedono', 'in', 'utah']",answer population_1 stateid(utah),answer population_1 stateid(utah),1
24,109,"['quante', 'ε', 'persone', 'stanno', 'in', 'utah']",answer population_1 stateid(utah),answer population_1 stateid(utah),1
25,110,"['quanti', 'ε', 'residenti', 'vivono', 'in', 'texas']",answer population_1 stateid(texas),answer population_1 stateid(texas),1
26,112,"['quanti', 'ε', 'fiumi', 'si', 'trovano', 'in', 'colorado']",answer count river loc_2 stateid(colorado),answer count river loc_2 stateid(colorado),1
27,113,"['quanti', 'ε', 'fiumi', 'sono', 'in', 'colorado']",answer count river loc_2 stateid(colorado),answer count river loc_2 stateid(colorado),1
28,114,"['quanti', 'ε', 'fiumi', 'sono', 'in', 'iowa']",answer count river loc_2 stateid(iowa),answer count river loc_2 stateid(iowa),1
29,115,"['quanti', 'ε', 'fiumi', 'sono', 'in', 'missouri']",answer count river loc_2 stateid(missouri),answer count river loc_2 stateid(missouri),1
30,116,"['quanti', 'ε', 'fiumi', 'sono', 'in', 'new', 'york']",answer count river loc_2 stateid(new york),answer count river loc_2 stateid(new york),1
31,120,"['quanti', 'ε', 'fiumi', 'sono', 'in', 'idaho']",answer count river loc_2 stateid(idaho),answer count river loc_2 stateid(idaho),1
