,ID,NL,MR,PRED,MONOTONIC
0,3,nenne alle fluesse in colorado,answer river loc_2 stateid(colorado),answer river traverse_2 stateid(colorado),1
1,6,zahle die staaten welche erhebungen haben die niedriger liegen als jene in alabama,count state answer low_point_2 lower_2 low_point_1 stateid(alabama),answer state loc_1 place higher_2 stateid(alabama),0
2,15,nenne mir die anzahl der fluesse in california,answer count river loc_2 stateid(california),answer population_1 river loc_2 stateid(california),1
3,16,nenne mir die staaten welche an utah grenzen,answer state next_to_2 stateid(utah),answer state next_to_2 stateid(utah),1
4,25,wie hoch ist mount mckinley,answer elevation_1 placeid(mount mckinley),answer elevation_1 placeid(mount mckinley),1
5,26,wie hoch liegt der hoechste punkt in amerika,answer elevation_1 highest place loc_2 countryid(usa),answer elevation_1 highest place loc_2 countryid(usa),1
6,29,wie hoch liegt der hoechste punkt in alabama,answer elevation_1 highest place loc_2 stateid(alabama),answer elevation_1 highest place loc_2 stateid(alabama),1
7,33,wie gross ist alaska,answer size stateid(alaska),answer size stateid(alaska),1
8,34,wie gross ist texas,answer size stateid(texas),answer size stateid(texas),1
9,37,wie lang ist der colorado fluss,answer len riverid(colorado),answer len riverid(colorado),1
10,38,wie lang ist der delaware fluss,answer len riverid(delaware),answer len riverid(delaware),1
11,39,wie lang ist der laengste fluss californias,answer len longest river loc_2 stateid(california),answer len longest river loc_2 stateid(california),1
12,40,wie lange ist der laengste fluss der usa,answer len longest river loc_2 countryid(usa),answer len longest river loc_2 countryid(usa),1
13,45,wie lange ist der north platte fluss,answer len riverid(north platte),answer len riverid(north),1
14,46,wie lang ist der fluss ohio,answer len riverid(ohio),answer len riverid(ohio),1
15,50,wie viele grosse staedte gibt es in rhode island,answer count capital loc_2 stateid(rhode island),answer count major city loc_2 stateid(rhode island),1
16,53,wie viele staedte gibt es in den usa,answer count city loc_2 countryid(usa),answer count city loc_2 countryid(usa),1
17,60,wie viele einwohner hat die groesste stadt in den usa,answer population_1 largest city(all),answer population_1 largest city loc_2 countryid(usa),1
18,64,wie viele fluesse mit dem namen colorado gibt es,answer count river riverid(colorado),answer count river loc_2 stateid(colorado),1
