,ID,NL,MR,PRED,MONOTONIC
0,6,"['conta', 'gli', 'stati', 'che', 'hanno', 'elevazione', 'inferiore', 'a', 'quella', 'dell', 'alabama']",count state answer low_point_2 lower_2 low_point_1 stateid(alabama),answer state largest_one stateid(alabama),0
1,23,"['quanto', 'sono', 'alti', 'i', 'picchi', 'più', 'alti', 'di', 'tutti', 'gli', 'stati']",answer elevation_1 place highest loc_2 state(all),answer elevation_1 place highest loc_2 state(all),0
2,26,"['quanto', 'è', 'alto', 'il', 'picco', 'più', 'alto', 'in', 'america']",answer elevation_1 place highest loc_2 countryid(usa),answer answer elevation_1 place highest loc_2 countryid(usa),0
3,27,"['quanto', 'è', 'alto', 'il', 'picco', 'più', 'alto', 'in', 'montana']",answer elevation_1 place highest loc_2 stateid(montana),answer elevation_1 place highest loc_2 stateid(montana),0
4,28,"['quanto', 'è', 'alto', 'il', 'picco', 'più', 'alto', 'nello', 'stato', 'più', 'grande']",answer elevation_1 place highest loc_2 state(all) largest,answer elevation_1 place highest loc_2 state(all) largest,0
5,29,"['quanto', 'è', 'alto', 'il', 'picco', 'più', 'alto', 'dell', 'alabama']",answer elevation_1 place highest loc_2 stateid(alabama),answer answer elevation_1 place highest loc_2 stateid(alabama),0
6,30,"['quanto', 'è', 'alto', 'il', 'picco', 'più', 'alto', 'del', 'delaware']",answer elevation_1 place highest loc_2 stateid(delaware),answer answer elevation_1 highest loc_2 stateid(delaware),0
7,31,"['quanto', 'è', 'alto', 'il', 'picco', 'più', 'alto', 'della', 'florida']",answer elevation_1 place highest loc_2 stateid(florida),answer answer elevation_1 place highest loc_2 stateid(florida),0
8,32,"['quanto', 'è', 'alto', 'il', 'picco', 'più', 'alto', 'della', 'louisiana']",answer elevation_1 place highest loc_2 stateid(louisiana),answer answer elevation_1 place highest stateid(wyoming),0
9,35,"['quanto', 'è', 'grande', 'la', 'città', 'più', 'grande', 'in', 'alaska']",answer size city largest loc_2 stateid(alaska),size city largest loc_2 stateid(alaska),0
