,ID,NL,MR,PRED,MONOTONIC
0,3,"['nenne', 'alle', 'fluesse', 'ε', 'in', 'colorado', 'ε']",answer river loc_2 stateid(colorado),answer river traverse_2 stateid(colorado),1
1,6,"['zahle', 'die', 'ε', 'staaten', 'welche', 'ε', 'erhebungen', 'haben', 'die', 'ε', 'niedriger', 'liegen', 'als', 'jene', 'in', 'alabama']",count state answer low_point_2 lower_2 low_point_1 stateid(alabama),answer state place loc_1 elevation_1 loc_2 stateid(alabama),0
2,15,"['nenne', 'mir', 'die', 'ε', 'anzahl', 'der', 'fluesse', 'ε', 'in', 'california']",answer count river loc_2 stateid(california),answer major river loc_2 stateid(california),1
3,16,"['nenne', 'mir', 'die', 'ε', 'staaten', 'welche', 'ε', 'an', 'utah', 'grenzen']",answer state next_to_2 stateid(utah),answer state next_to_2 stateid(utah),1
4,25,"['wie', 'hoch', 'ist', 'mount', 'mckinley']",answer elevation_1 placeid(mount mckinley),answer elevation_1 placeid(mount mckinley),1
5,26,"['wie', 'hoch', 'liegt', 'ε', 'der', 'hoechste', 'punkt', 'ε', 'in', 'amerika']",answer elevation_1 highest place loc_2 countryid(usa),answer elevation_1 highest place loc_2 countryid(usa),1
6,29,"['wie', 'hoch', 'liegt', 'ε', 'der', 'hoechste', 'punkt', 'ε', 'in', 'alabama']",answer elevation_1 highest place loc_2 stateid(alabama),answer elevation_1 highest place loc_2 stateid(alabama),1
7,33,"['wie', 'gross', 'ist', 'alaska']",answer size stateid(alaska),answer size stateid(alaska),1
8,34,"['wie', 'gross', 'ist', 'texas']",answer size stateid(texas),answer size stateid(texas),1
9,37,"['wie', 'lang', 'ist', 'der', 'colorado', 'ε', 'fluss', 'ε']",answer len riverid(colorado),answer len riverid(colorado),1
10,38,"['wie', 'lang', 'ist', 'der', 'delaware', 'fluss', 'ε']",answer len riverid(delaware),answer len stateid(delaware),1
11,39,"['wie', 'lang', 'ist', 'der', 'laengste', 'fluss', 'ε', 'californias']",answer len longest river loc_2 stateid(california),answer len longest river traverse_2 stateid(california),1
12,40,"['wie', 'lange', 'ist', 'der', 'laengste', 'fluss', 'ε', 'der', 'usa']",answer len longest river loc_2 countryid(usa),answer len longest river loc_2 countryid(usa),1
13,45,"['wie', 'lange', 'ist', 'der', 'north', 'platte', 'fluss', 'ε']",answer len riverid(north platte),answer len stateid(north dakota),1
14,46,"['wie', 'lang', 'ist', 'der', 'fluss', 'ε', 'ohio']",answer len riverid(ohio),answer len riverid(ohio),1
15,50,"['wie', 'viele', 'ε', 'grosse', 'staedte', 'ε', 'gibt', 'es', 'in', 'rhode', 'island']",answer count capital loc_2 stateid(rhode island),answer count major city loc_2 stateid(rhode island),1
16,53,"['wie', 'viele', 'ε', 'staedte', 'ε', 'gibt', 'es', 'in', 'den', 'usa']",answer count city loc_2 countryid(usa),answer count city loc_2 countryid(usa),1
17,60,"['wie', 'viele', 'ε', 'einwohner', 'hat', 'die', 'ε', 'groesste', 'stadt', 'ε', 'in', 'den', 'usa']",answer population_1 largest city(all),answer population_1 largest city loc_2 countryid(usa),1
18,64,"['wie', 'viele', 'ε', 'fluesse', 'ε', 'mit', 'dem', 'namen', 'colorado', 'ε', 'gibt', 'es']",answer count river riverid(colorado),answer count intersection river riverid(colorado),1
19,82,"['wie', 'viele', 'ε', 'menschen', 'leben', 'in', 'detroit']","answer population_1 cityid(detroit, _)",answer population_1 stateid(michigan),1
20,84,"['wie', 'viele', 'ε', 'menschen', 'leben', 'in', 'houston']","answer population_1 cityid(houston, _)","answer population_1 cityid(houston, _)",1
21,87,"['wie', 'viele', 'ε', 'leute', 'leben', 'in', 'minneapolis', 'minnesota']","answer population_1 cityid(minneapolis, mn)","answer population_1 cityid(albany, _)",1
